data,app,type
"It is important that users have enable to  stop manually step counter in programe when they use bus ,automobile ,....",Samsung Health,feature_request
Why was the week and month view removed from the weight tracker? I understand adding features to the app but why remove some that many used on a regular basis?,Samsung Health,feature_request
"As of 9/1/19, cannot set or reset data permissions to sync step data with apps and block other apps from seeing data.",Samsung Health,feature_request
No way to input or modify an activity.  Have to press start/stop while in the pool. I don't want my taking a shower to be part of the exercise. ..,Samsung Health,feature_request
"I used to love this app.. now it dosent even work properly. It dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore..",Samsung Health,feature_request
Floor data is now hidden under step. It was much more useful when it was top level and had its own history.,Samsung Health,feature_request
"Unless I've gone crazy, the food logger has stopped giving detailed analysis, such a vitamin c intake, etc... Where has this gone? Have I done something in the settings?! Bring it back!!",Samsung Health,feature_request
"I wish it could connect with other healh and fitness ecosystems, like Google fit. But it doesn't yet.",Samsung Health,feature_request
I deny you acess to my location.please stop tracking me.I don't want this on my phone.,Samsung Health,feature_request
"If it has an option to flip the data for night shift schedule workers, that would be GREAT!",Samsung Health,feature_request
"What is the probability of getting a section that you can get a ""Monthly"" tracking icon for this? It would be great to be able to look at one's overall tracking process without having to post on a calendar daily ",Samsung Health,feature_request
"after update, walk target setting is missing..implement it for better rating.. Walk target setting gound later snd Found it useful.",Samsung Health,feature_request
"I wish I could enter my steps, I wear a ""watch"" type that counts my steps but it's not ""connectable"" to my phone. I walk over 5 miles a day and I just this app to show this.",Samsung Health,feature_request
Inaccurate but can be useful. Please allow stationary exercises to be accurately calculated. I jogged 30 minutes in place with an average heart rate of 120 but data shows I burned 0 calories and completed 0 distance. Also more programs please.,Samsung Health,feature_request
"UNINSTALLED! I have used this app for years & only just now, the app requires phone permissions. No thank you",Samsung Health,feature_request
Ecg in indonesia for samsung watch 3 not available yet?,Samsung Health,feature_request
Please add Mi Scale 2 to the app.  Until then 3 stars,Samsung Health,feature_request
Very helpful app from a personal point of view. At times does crash on me. Wish they would post your total km achieved in the month?,Samsung Health,feature_request
Great app. Love you can put in your food intake and stuff. Would give a 5  star if the step counting would work all the time. It doesn't work more  often than it does work so I don't have a good idea of the calories burned  and such.,Samsung Health,feature_request
I liked better the original version with the stress monitoring.,Samsung Health,feature_request
When will you switch on the ECG features on in Australia?,Samsung Health,feature_request
I like the app in general but the widget is annoying. I mean it's way to big for the information displayed. It was somewhat understandable when I had my note 8 with heart rate but now with S20 I should be able to resize it.,Samsung Health,feature_request
I love the health samsung app. I do not like the samsung service. If you need to correct something in your profile it is almost impossible because of all the questions being asked,Samsung Health,feature_request
The best app out there IMO. The only issue I have is the need to enter the duration for push ups and pull ups. And it would be great if you could add ring pull ups and ring dips.,Samsung Health,feature_request
"Great app , just add a water tracking shortcut please add jawbone up support",Samsung Health,feature_request
"I liked the app, but where did the oxygen saturation test go? bring it back!",Samsung Health,feature_request
"I just have a question: How many bad reviews do yall need from customers that actually use the app, before you guys change the app features back?? ""It's like the ppl saying what they want and.... the company is like naw yall don't need that"" smh",Samsung Health,feature_request
"In love with the app,however the Stress Test and SpO2 test on my Samsung Galaxy Note 5 is missing. Please fix it.",Samsung Health,feature_request
My problem with it is there's just too much... just want to count my steps and I'd like to take this out of my phone,Samsung Health,feature_request
Effective tool for the job. Really needs to have a feature that records steps while pushing a stroller/wheelchair/walker.,Samsung Health,feature_request
"Can you add programs where I can select my current level (or you figure it out based on my history) and select my goal, like half marathon, or marathon?",Samsung Health,feature_request
Actually the update does not even have much form.....Samsung took a helpful and useful app and turned it into a pile of poop. Please roll back to the previous version and whoever said this new version was any good...sack them.,Samsung Health,feature_request
It was all fine until you guys removed the feature to access trend for all kinds of exercise. Would be much much much better if you restore it. Need to see bar charts for exercise.,Samsung Health,feature_request
"New update is horrible, I am not able to see mins counter. Only steps are being shown...pls fix .",Samsung Health,feature_request
"You can change all measurements units except for arguably the most important one, calories to joules. This is very frustrating for anyone outside of the USA and it makes me hate getting their smart watch.",Samsung Health,feature_request
Hate the new update! I liked to track my average step count by calendar month and now that feature is gone.,Samsung Health,feature_request
I work a 12 hr shift and i walk 10 of those hours.  This doesn't count all of my steps. Not happy about the way it shows your rewards. Won't let you see each reward. Before update was better. Not excited about using this anymore.,Samsung Health,feature_request
"Update: still amazing, however I wish I could tracks sets, reps, and weight for lifting instead of just the time/duration of the workout. You can put a memo, but it'd be better if it would track and graph your progress.",Samsung Health,feature_request
Not a bad app but wish there was a more accurate long evaluation for personal goals,Samsung Health,feature_request
Needs a place to add daily notes that are searchable.,Samsung Health,feature_request
So excited to hear the ECG is available and yet I see it NOWHERE on my watch. Why would u advertise something you should have when I don't it. Super bummed,Samsung Health,feature_request
I would like the ability to scan barcodes on food to find them more accurately.,Samsung Health,feature_request
Not bad but would be nice if it would keep track of menstrual cycles and sexual activity,Samsung Health,feature_request
"When I measure stress out heart rate the screen sometimes freezes and I have to restart my phone. Otherwise, I like the app but wish there was a way to enter other exercises.",Samsung Health,feature_request
Loved this app untill new update. I will not give permission to access my contacts. Uninstalled and wont be using again. I also dont like the fact you wont allow me to sync my Garmin device to this app. Extremely disappointed,Samsung Health,feature_request
"I'm also sad about the recent update. I was keeping track of caffeine, along with everything else, but that option looks like it was taken away, as well. It would be cool to have it back!",Samsung Health,feature_request
I will no longer use this app based on most recent update. There is absolutely no reason for me to grant permission to access my contacts or calls. Very disappointing as I have been a long time user.,Samsung Health,feature_request
The recent update doesn't have floor count. Not sure why it was removed,Samsung Health,feature_request
"I use the app on my galaxy active 2 watch to track my exercises, however, it's missing Barre and HIIT. I have to use ""other"" workout to track. Can you please add Barre and/or HIIT (high intensity interval training) to the exercise list?",Samsung Health,feature_request
"My only complaint is that they don't have ""handfulls of pasta that I found at the park"" in the food section",Samsung Health,feature_request
"Changed my review since last update.. Its ruined it! It's all harder to read, no caffeine counter the calories deficit is now very hard to work out.. Excerises done list looks terrible WISH I COULD REVERT BACK TO LAST VERSION!! ",Samsung Health,feature_request
Why there is variation in step in gear and august chalange..please resolve,Samsung Health,feature_request
"Great app, but the massive banner ads as soon as I open the app for a watch I already have and the fact that there's no option to turn them off really ruins the experience for me.",Samsung Health,feature_request
You got rid of the one measurement I used. I have severe asthma and used the oxygen measurements for my doctor and myself. The stress one takes much longer and doesn't track it...,Samsung Health,feature_request
"Why would you ever remove the ability to view weight over time???? Daily tracking??? Not totally useless, but close.",Samsung Health,feature_request
"I would give this app a 5 stars but i can no longer find the ""oxygen reader""... maybe make it easier to find it???? someone help!!",Samsung Health,feature_request
to be honnest ive never updated or opened it as not needed but its locked to phone so not allowed to remove so is currently disabled until the delete option becomes available,Samsung Health,feature_request
removed the caloric intake feature and now it's wack edit: just found out you can undo the update by looking up the older version of the app on the Samsung mobile website  still upset the current version doesn't have the calorie intake and outake meter though,Samsung Health,feature_request
The latest update removed a great feature that tracked the number of minutes walked. Now it's down to distance only. Very disappointing.,Samsung Health,feature_request
"I hate that I can't manage the weight loss plan anymore, can't measure heart rate or oxygen anymore. Every update is a real downgrade with this app. I used to love it. Why does it even need a permission to use sensors?",Samsung Health,feature_request
Don't forget to save & done on workouts or all is lost!,Samsung Health,feature_request
"One feature that would make this 5 stars is a scanner, so you could scan the barcode of food instead of manually putting in nutrition information.",Samsung Health,feature_request
Not all the food I eat can be recorded accurately but otherwise I'm happy with the app,Samsung Health,feature_request
Would be good if there was yearly stats on here not just weekly and monthly.,Samsung Health,feature_request
Love it but I wish it could sync with Weight Watchers. Fitbit does.,Samsung Health,feature_request
"Work out resume and workout pause that new voice is ridiculous, plz change it",Samsung Health,feature_request
This app was great until they took away the weight management widget in the app. This has been an essential part of my weight loss and diet. This missing feature has me considering switching my smart watch to Garmin or someone who can support this. Please bring it back,Samsung Health,feature_request
3 messages in 4 hours now getting very annoying.stop it,Samsung Health,feature_request
I'm in Canada the stress palortion of the app is not there .... good try thanks for nothing... fail again,Samsung Health,feature_request
Shame. Was a great app. Tried to get my data but in a loop that requires me to give access. Sorry. I'm done.,Samsung Health,feature_request
Dislike the new version it doesn't show healthy steps anymore and doesn't record your pace either.,Samsung Health,feature_request
I hate it and I can't delete please help me and i will rate 5 star if the problem is solve.,Samsung Health,feature_request
Great app except you can't challenge a group. You can challenge 1 person but not multiple for steps. i have a wife and son that run and can only do one. Come on Samsung. You didn't think of this feature? Families exercise together.,Samsung Health,feature_request
I like the app but it sucks because the fit bit app is not a compatible app please work on this until then 4 stars,Samsung Health,feature_request
Great app but I put 4 because there's no skateboarding on the exercise like the funnest thing but there is rollerskating ,Samsung Health,feature_request
i cant find my heartbeat sensor. its just not there anymore,Samsung Health,feature_request
It would be better if the obvious hackers weren't flooding the leader board!,Samsung Health,feature_request
Love the app and the challenges it is incredibly difficult to connect with people you know it would be great if it connected to Facebook or phone book,Samsung Health,feature_request
I can't access the app without letting it make or manage phone calls.,Samsung Health,feature_request
Love this app but why had the weight management item disappeared today?,Samsung Health,feature_request
"Blood oxygen measurement was removed in the latest update, no reason was given. On some phones it's apparently still available under the Stress section but my phone doesnt have that for some reason.",Samsung Health,feature_request
Could improve by adding a feature to record irregular sleep patterns.,Samsung Health,feature_request
"Why would this app require, as compulsion, the use & management of phone calls ? It wasn't used to be the case till new ""privacy policy"" came into effect which doesn't allow use unless this permission is granted.",Samsung Health,feature_request
"This app is now pretty worthless since Samsung dropped the weight tracker (weekly, monthly), as well as the food (calories) and caffeine trackers. Not a smart move by Samsung.",Samsung Health,feature_request
"Include a barcode/QRcode scanner beside the ""search"" field of the food  section (of scanning did packaging will retrieve nutritional information of  the food product into S-Health).",Samsung Health,feature_request
Where did the blood oxygen feature go? It's not there. It's also not under stress management. I really enjoyed that feature and am sad it's now gone. When will it come back?,Samsung Health,feature_request
I'd like to be able to manually Record Steps in the pedometer section. Not everyone has their phone on them 24/7 and it would be a nice feature to use. Overall I think this is a great app.,Samsung Health,feature_request
"Good, but could be better. Analisys of work (training) should be even more specified..for functional fitness variations. Tks.",Samsung Health,feature_request
"I have come to depend on this app as part of my fitness routine. It helps track many of my activities. This latest release is getting 4/5 stars because even though I have Marketing Information turned off, I just got an ad for a well-known radio subscription service.",Samsung Health,feature_request
"great app. I love that it tells your progress in whatever exercise mode you in, and you can share to a lot of other apps except Fitbit. would love to be able to share to Fitbit too. You can track sleep, water and caffeine intake, etc. Definitely recommend this app",Samsung Health,feature_request
I would have given the application 5 stars if I was able to connect my Fitbit Inspire to it. Unfortunately I couldn't. Is there a solution for this before uninstalling and looking for an alternative application that allows Fitbit to link.,Samsung Health,feature_request
I love this app and use it often.  I find myself coming back to this app everytime I use a different health app. It will be nice if the steps and sleep data can be presented in a circle like the food data for easy access,Samsung Health,feature_request
Good app but could be better. I get frustrated when recording food as it doesn't always come up. And only remembers what you record for that particular meal not what you've previously had. Recording food could be improved with a scanner option. Most other functions are great.,Samsung Health,feature_request
This app would be awesome if you could sync Fitbit data and would be so much more useful.,Samsung Health,feature_request
Love the layout and how easy it is to use! The only thing that's disappointing is that I'm not able to sync my vivofit 2 with the app. Would easily be a 5/5 star rating if this was fixed as I love everything else about it!,Samsung Health,feature_request
Would be great if could sync with Garmin Vivoactive hr.,Samsung Health,feature_request
the only thing I have a problem with is the that the food caloric measurements arent accurate. I added in and item that was on the list and it didnt add in the protein counts.,Samsung Health,feature_request
Is it possible to measure blood pressure with note 9 ?,Samsung Health,feature_request
great app but there needs to be a push bike riding activity like the walking and running step count,Samsung Health,feature_request
Great App. It would be such better if it communicated with other fitness/wellness systems and apps.,Samsung Health,feature_request
"Wish it had more applications I could sync, like Google, myfitness & u armor... etc.",Samsung Health,feature_request
"Forced me to enter my mobile number ""to let your friends to invite for health challenges"". Thanks but NO THANKS!",Samsung Health,feature_request
Rubbish got rid of oximeter function at a critical time I'm done with Samsung,Samsung Health,feature_request
"You are missing one component that is very user friendly. Being able to scan barcodes, so that entering a meal or snack is quicker.",Samsung Health,feature_request
Good. sociak challenge is fun. more rewards for activity streaks would be nice,Samsung Health,feature_request
Nice app needs a little more things that people that have handicap problems can do,Samsung Health,feature_request
The unit does not allow changing to S.I. units (kJ instead of kcal) and has only U.S. food preprogrammed. The option to enter your own food is gone since the latest update. It is pretty useless now. And Samsung never replies to questions or suggestions.,Samsung Health,feature_request
Need to be more in depth options when adding data for swimming. I get duration but what about distance...?,Samsung Health,feature_request
What's the point of tracking every thing about your health if you CAN'T SET A CALORIE GOAL TO GO WITH YOUR FOOD INTAKE. HOW STUPID IS THIS?????,Samsung Health,feature_request
Bought it for the ecg but doesn't have it in the uk,Samsung Health,feature_request
"I just started exploring the app and found that breathing exercise is limited to 10 seconds for inhale or exhale. This needs to be longer, and go up to 20. I still use it for tracking but have to divide the cue intervals in my head.",Samsung Health,feature_request
random update to demand access to my contacts and phone for a fitness app?seriously?! there's no reason provided for why you even need this beyond selling the data to your third parties for more profit. scummy samsung as always.,Samsung Health,feature_request
"was a good app and then upgraded do u cant do pulse, stress and a few other things. pretty useless.",Samsung Health,feature_request
"A handy, all-in-one-place tool to track most anything about staying active and healthy. The food tracking tool is not as complete or efficient as My Fitness Pal but everything else--and there are many tools--work quite well. Plus, some work with my Gearfit2 watch. Bonus!",Samsung Health,feature_request
Doesn't measure stress or blood oxygen...feature was removed from all phones higher than S10...I needed this because of my PTSD...will not buy another Samsung product.,Samsung Health,feature_request
it can't  be used in other devices.. samsung should open this types  of software to alll,Samsung Health,feature_request
Indian dishes and food items are less in number which make food tracking very difficult. Indian foods should be added,Samsung Health,feature_request
"I have to verify my phone number at least every other day, even though I use it very regularly. That is extremely annoying. Other than that I mostly like the app.",Samsung Health,feature_request
"In general the app is very good, however the version on my new Galaxy S20 won't let me check heart rate without using a Samsung watch or band. I'm pretty sure the previous version I have had, used the fingerprint sensor.",Samsung Health,feature_request
Can't remove this app. Can't disagree only option is agree. How do I get rid of it.,Samsung Health,feature_request
I like all the different exercises that your app can keep track of...I only hope there was a way to make corrections.. Like when you forget to stop an exercise and keeps going...its cheating bit I dont know how to change it...,Samsung Health,feature_request
"Its really a good app  but it doesn't show axact weight of the person b4 exercise, after exercise",Samsung Health,feature_request
I really like this app but I think it could be even more healthy if a cigarette counter feature is added to other useful tools of the app.,Samsung Health,feature_request
"Used to use this app to track steps/miles. Worked fine. Now wants permission for phone and contacts and won't work without it. Should have an opt out feature and still allow those who liked its functionality before the ""upgrade"" to continue using it as before.",Samsung Health,feature_request
There is zero reason to have sheath invading our privacy with dual verification. Stop overstepping your boundaries because stupid people don't understand what you are doing.,Samsung Health,feature_request
Can no longer use the heart rate monitoring or pulse ox without a watch or bit.,Samsung Health,feature_request
"Works well, but I wish I could enter a meal for a time in the future. I pack my food in the morning and my lunch break is always at the same time so I already know for sure what and when I will eat. 🤷‍",Samsung Health,feature_request
Really needs a Barcode scanner for food input! Using Myfitnesspal mostly because of that,Samsung Health,feature_request
Why all the foods are conserved food.I cook in home.,Samsung Health,feature_request
"Overall, I really like this app. I have agree with others, I was very upset to see the weight control tab on the home screen was removed. This was my primary guide to losing 50 pounds so far this year. Please bring this back feature back really fast!",Samsung Health,feature_request
"Wish my health data could be accessed from a computer, not just on my mobile phone. Laptop screen would be larger, showing more data at the same time, easier to print reports, maybe also compare data over different time frames etc.",Samsung Health,feature_request
"I like the food tracking feature and other options, although some feel gimmicky. One negative: Samsung glossed over the fact that some meals have more than one gram of sodium; input is capped at 999.9 mg. I guess I should stop eating Chipotle!",Samsung Health,feature_request
Can't use the app unless you allow all permissions. Only physical activity and location is necessary but app won't work unless to allow camera contacts etc. Invasion of privacy,Samsung Health,feature_request
"I just bought an Active 2 watch and found out calorie counting was removed. Will be returning the watch. I called the number referenced in responses from the developer, who let me know that calorie count won't be coming back anytime soon.",Samsung Health,feature_request
"Hi Samsung, Is there a Samsung Heath app for PC?",Samsung Health,feature_request
Nice..... it would be much better if walking is recorded AS SOON AS I START WALKING not 10 minutes later. Other than that it's good.....,Samsung Health,feature_request
"It does not provide the option to measure my heart rate or SP02 anymore by placing my finger on the sensor on my phone. By removing this feature, it has made an awesome app rather pointless. ",Samsung Health,feature_request
"If you want people to use the app frequently,  you need Widgets. Food and drink widgets! Heart rate widget! These will help remind people to use it. I need it in my face to do any good.",Samsung Health,feature_request
"Heart Rate monitoring has been made redundant. Can't see it in real time. Post the latest update, this has really lost its utility.",Samsung Health,feature_request
"Nobody in the world measures weight lifting in time, it's always sets and reps. Nobody brings their phone into a swimming pool to start and stop a timer. Really shockingly bad for such a big company",Samsung Health,feature_request
If you could snapshot caloric intake on food I feel it would be helpful. I feel like the rest time in a workout should be counted more somehow along with doing your own custom workouts. I still enjoy the app dispite these things.,Samsung Health,feature_request
Simply A-M-A-Z-I-N-G. The 'Programs' 'Calm' and others in discover is simply awesome. Enjoying a lot..... just that.. there should be a manual way to input our steps Just In Case we did not keep our PH in our pocket while jogging or walking.,Samsung Health,feature_request
"Used all the time for my oxygen level but not on here anymore, why not, this is very important for me.",Samsung Health,feature_request
Please include Nigeria food in your list. Without it it would not be possible to rate the food consumption.,Samsung Health,feature_request
Can you please make the age for the app lower I really want to use it I'm 15 but it says I have to be older please change this,Samsung Health,feature_request
I do love this app. Would be better if Fitbit was a partner app as i feel  that would track my steps better as my phone isnt on me contantly,Samsung Health,feature_request
Forces updates all the time... can't block it. Don't want it.... stealing my memory space.,Samsung Health,feature_request
"Excellent app, it help me to lose weight and encourages me to live a healthy life, although it's a pity it can't pair with mi band directly, I wish it could",Samsung Health,feature_request
Where is the oxygen monitor that was advertised on the Samsung galaxy watch 3? That was half the reason I bought it...,Samsung Health,feature_request
"Awful, it won't let me even open the app unless I allow per.issions in the settings which I have. I used to use this app alot",Samsung Health,feature_request
Needs a community like fitbit. I feel no need to open the app because it feels like there's no real competition.,Samsung Health,feature_request
App is great! I always use it everytime I workout. My suggestion is that please add a support to Mi Band 4 or allow sync to Mi Fit App. That would be awesome.,Samsung Health,feature_request
Needs a notification to tell you when it has picked up a gps signal. I run the same route but I can can have a difference of 0.1 to 0.4 due to not knowing when It the app has a gps lock like.,Samsung Health,feature_request
"UPDATE IS JUST MALWEAR. WHY DO YOU NEED ACCESS TO MY PHONE, FILE'S, PIXS AND CAMERA??? JUST COUNT MY STEPS!",Samsung Health,feature_request
"Was much better before the update. Calories are harder to track now, and can no longer view the actual satelite from bike rides.  Very dissapointed! I used to love this app.",Samsung Health,feature_request
There is no option for check hear rate i can i manage this can you guide us ???,Samsung Health,feature_request
Why do I need to give phone permission to this app to use it now?,Samsung Health,feature_request
Please remove fake participates in global challange. How is it possible to walk 200000 steps in one day for anybody? Its demotivate to other participates. Thank you,Samsung Health,feature_request
Worked well until recent privacy update. Now needs permissions to change phone settings ! App deleted.,Samsung Health,feature_request
Great app. Love it. Would like to see more workouts or the ability to sync with other workouts app.,Samsung Health,feature_request
Totally awesome. Just miss the chat group where we couks share routes with other users.,Samsung Health,feature_request
It does not measure sugar when I look at the summary of what I have eaten.,Samsung Health,feature_request
Useless since they removed the most useful spoken teal-time statistics. I'm now looking for an alternative.,Samsung Health,feature_request
How can we restart walking step from start(0) plz tell me how to do from start,Samsung Health,feature_request
"Food tab is missing a barcode scanner for quick searching macronutrients, needs to add a target macro editing for Fats, Protein & Carbs",Samsung Health,feature_request
"Pls add anothers wallpaper widgets that able to open app in basic page, or add/record workout directly",Samsung Health,feature_request
After several years watch map data problems still not solved.,Samsung Health,feature_request
I wish u can put back how many times u walk & see the every hour on sleep monitoring. It was on the S5. Why not on the S6?,Samsung Health,feature_request
Functionality has been removed. I have installed an alternate app for weight tracking. Why spend time and effort removing useful functionality resulting in losing customers?,Samsung Health,feature_request
I love this app. I am training with the baby steps to a 5k. I wish I could edit my running days when I need to.,Samsung Health,feature_request
"Really good app, love using it. However I do have a suggestion: a period tracker would be a nice for women. Thank you.",Samsung Health,feature_request
there are a not a lot of exercises available in the app.,Samsung Health,feature_request
Great app. A scanner feature would be useful for enter food calories..,Samsung Health,feature_request
"Could be nice having a place to put the body fat, muscle mass, bone weights, and so on. Also with calorie counter of course to set a body goal(bulk, cut ...)",Samsung Health,feature_request
"The app is awesome, but the updated layout SUCKS. There is no option to change the layout format back to grid style rather than line by line.",Samsung Health,feature_request
