reveiw_content,user_story
I come back it does n't stay there,it does n't stay there
i open someones snap the next time i get on it keeps reloading over and over,the next time i get on it keeps reloading over and over
I sign in it says the password is incorrect,it says the password is incorrect
"I am in an actual Starbucks store The menus make no sense , hard to figure out how to add a card , half the time it does n't work","The menus make no sense , hard to figure out how to add a card , half the time it does n't work"
re - enter it makes me put in my password AGAIN,it makes me put in my password AGAIN
you try to flip the camera it either does n't do it,it either does n't do it
"I can access I ca n't access the articles regularly , ca n't save","I ca n't access the articles regularly , ca n't save"
I boot up the app it skip back to the last one mid song,it skip back to the last one mid song
someone calls my Google Voice number it usually does n't ring the hangouts app,it usually does n't ring the hangouts app
"so I downloaded it The first time I tried to start it up , I got an error message stating that it was n't available for my region","The first time I tried to start it up , I got an error message stating that it was n't available for my region"
i wanna snap a picture i do n't even hold down the button it just thinks i do,i do n't even hold down the button it just thinks i do
"go to my email , put in the pin Also , every single time I try to log in , again with this app and the mobile site , I am told they do n't recognize my device","Also , every single time I try to log in , again with this app and the mobile site , I am told they do n't recognize my device"
I refresh my most recent feed This app now crashes on me,This app now crashes on me
I got to my recents it pulls up stuff from Monday,it pulls up stuff from Monday
I use Facebook I get kicked out at LEAST 3 times during the time I 'm on it,I get kicked out at LEAST 3 times during the time I 'm on it
someone else is in the chat with you The button does n't turn blue,The button does n't turn blue
I open the App it immediately crashes,it immediately crashes
i try to deposit a check This app crashes,This app crashes
I updated the app crashed repeatedly,the app crashed repeatedly
I send a snap Also there 's a strange glitch that makes the music on my phone start playing,Also there 's a strange glitch that makes the music on my phone start playing
I have full LTE service It tells me all the time it ca n't give me the weather,It tells me all the time it ca n't give me the weather
I open it Now the app instantly crashes,Now the app instantly crashes
I open it up My app keeps crashing right,My app keeps crashing right
I delete the app it goes back to normal please,it goes back to normal please
"I try to login with the app it says "" resource does not exist","it says "" resource does not exist"
"I try to login on the computer it says "" invalid password","it says "" invalid password"
I try to login it says Session Expired,it says Session Expired
I try to see shared photos The app keeps exiting to home screen,The app keeps exiting to home screen
I have the app launched and music playing I can not receive calls,I can not receive calls
I tap on a posts link to a web page article it will usually load the article,it will usually load the article
you open the app They pop up,They pop up
I bill pay it gives me an error message,pay it gives me an error message
"play Keeps saying go online , tried using it on wifi also and still no luck","Keeps saying go online , tried using it on wifi also and still no luck"
I 'd have search for my card I 'd have to log in again after using the card,I 'd have to log in again after using the card
wherever I want not work,not work
"now I see posts It has gotten rid of the ' most recent ' option , so , I get told what the storm warnings are for 3 days ago - useless","It has gotten rid of the ' most recent ' option , so , I get told what the storm warnings are for 3 days ago - useless"
I use it This app crashes,This app crashes
"reinstall it It is the only app that crashes , I 've tried to delete it","It is the only app that crashes , I 've tried to delete it"
"I checked back on my accounts several days later , the app said I had a missing credit card payment","several days later , the app said I had a missing credit card payment"
I try to make a video there 's a bunch of little pauses that mess up the audio,there 's a bunch of little pauses that mess up the audio
you use it its most recent update the app wo n't even stay on Most Recent,its most recent update the app wo n't even stay on Most Recent
I 've been a longtime user it 's on,it 's on
"check weather radar for wherever I was Now all I ever get is "" Can not get weather data","Now all I ever get is "" Can not get weather data"
"I open it It keeps crashing , I ca n't send","It keeps crashing , I ca n't send"
I 'm on Facebook too My iMac is crashing,My iMac is crashing
I put in a user name it tells me to test my connection it wo n't let me sign up,it wo n't let me sign up
double checking my email would n't let me log back in,would n't let me log back in
I deletes my picture When ever I take a picture it freezes,When ever I take a picture it freezes
I try Skype someone it hangs up,it hangs up
I 'm reading it Do n't update my news feed and auto - scroll,Do n't update my news feed and auto - scroll
I updated the app it wo n't open,it wo n't open
I open snapchat my screen goes white ( with all the normal snapchat things on top and bottom,my screen goes white ( with all the normal snapchat things on top and bottom
"I create my username it says that there is a connection problem ( which is n't true , I would be on wifi","it says that there is a connection problem ( which is n't true , I would be on wifi"
I may take a picture it will not let me use the front camera after that,it will not let me use the front camera after that
once I get in it crashes again and again and again,it crashes again and again and again
I try to take a pic to send to my friends it would turn black screen,it would turn black screen
I click on a picture to open it it takes forever to open and then about 10 more minutes just to swipe to the right for the next one,it takes forever to open and then about 10 more minutes just to swipe to the right for the next one
"I take a picture There 's a problem sometimes , it just turns black","There 's a problem sometimes , it just turns black"
i open it Its crashing on wifi,Its crashing on wifi
"I try to upload more then 8 pictures it quits , this has happened time and time again","it quits , this has happened time and time again"
This is the third time I 've updated Dropbox It worked fine,It worked fine
you try to click on the front facing camera it wo n't switch over,it wo n't switch over
When ever i try to login it keeps me logging in,it keeps me logging in
I try to see the pictures from the thread The app crashes,The app crashes
I tried to open the camera My camera does n't work all the time it will just turn grey,My camera does n't work all the time it will just turn grey
"I have someone text me I am really sick of having to "" log in as someone who is n't me","I am really sick of having to "" log in as someone who is n't me"
I see my list of recently accessed files it crashes,it crashes
I sign up I always get the same message,I always get the same message
"I had a full signal on my device It says "" could n't connect","It says "" could n't connect"
manually correcting any mistake regarding routing / account number There 's an error with this deposit,There 's an error with this deposit
I do manage to get it open it is slow and laggy,it is slow and laggy
"I try to upload my photos First off , ... it crashed","First off , ... it crashed"
I try to answer a FaceTime it says my devise is n't compatible,it says my devise is n't compatible
"I get off of it It logs me out , I have to put in my password every sing time I click on the app","It logs me out , I have to put in my password every sing time I click on the app"
you take a picture it takes it then just dissapears,just dissapears
I try to take a picture of the check The app crashes,The app crashes
"I usually do it from a gift card However , I am not able to transfer balances from my added giftcard to my gold card anymore","However , I am not able to transfer balances from my added giftcard to my gold card anymore"
I try to take a photo of a check to deposit It closes,It closes
updating the app I there is no option to install older pr other versions of the app,I there is no option to install older pr other versions of the app
I take a picture it flips the camera,it flips the camera
"switches the camera view from front to back Now with the latest update , not only is there an even longer lag , the phone freezes for a while","Now with the latest update , not only is there an even longer lag , the phone freezes for a while"
I take a pic it starts to record,it starts to record
I 'll take a picture ( front face camera it will close the picture change,it will close the picture change
I take a picture NOTHING happens,NOTHING happens
I upload photos it crashes,it crashes
uploading a video It 's also extremely slow loading and takes forever,It 's also extremely slow loading and takes forever
Even you clear the conversation the chat history returns the next time you send a snap to the same Snapchatter,the chat history returns the next time you send a snap to the same Snapchatter
"I have an I phone 4 my button is always flashing blue , i ca n't do live chat bc","my button is always flashing blue , i ca n't do live chat bc"
my conversations drop sometimes they just drop randomly,sometimes they just drop randomly
I try to load it ca n't access any of the money I loaded onto the app before the update because of this,ca n't access any of the money I loaded onto the app before the update because of this
I try to send a video the front flash wo n't work,the front flash wo n't work
you reach a certain post on the page it closes out of the app,it closes out of the app
I take a snap with the forward facing cam For about 24 hours now the screen will black out,For about 24 hours now the screen will black out
you choose a track to play On the iPad it will skip songs for no reason,On the iPad it will skip songs for no reason
I click the button the camera switches to the back sometimes on it does n't work,sometimes on it does n't work
I have to close the app it still might not work,it still might not work
"I take a "" selfie switches to the front camera",switches to the front camera
I try to switch the camera back to the front it wo n't work,it wo n't work
I try to send a snapchat It gets annoying having to restart the app,It gets annoying having to restart the app
deletes it my screen get frozen and sometime,my screen get frozen and sometime
I go to update it It repeatedly tells me that I need to update my billing address,It repeatedly tells me that I need to update my billing address
I try to reload my balance It rejects my credit card,It rejects my credit card
I like posts or comments It crashes constantly,It crashes constantly
I go it flip to the back camera,it flip to the back camera
"Now I have to scroll it does not provide as much info ( wind speed , gusts , etc","it does not provide as much info ( wind speed , gusts , etc"
I press on the camera switch on the top right it does not switch back,it does not switch back
I send something snapchat still turns on my iPod,snapchat still turns on my iPod
"you press the button for the front facing camera Sometimes , nothing happens","Sometimes , nothing happens"
I think I will return to the print version It 's almost unusable,It 's almost unusable
I ask to see the most recent posts it gives me handful of recent posts,it gives me handful of recent posts
"I go to take a front picture with snapchat Sometimes , it will stop my music","Sometimes , it will stop my music"
I go back to the front camera it wo n't work,it wo n't work
Click on a story it 's not there,it 's not there
view last 15 transactions The app is extremely buggy,The app is extremely buggy
"I take a picture in the most recent update , , it takes the picture","in the most recent update , , it takes the picture"
"I take a picture using the camera pointed at my face the screen goes black , shows the picture for maybe two seconds","the screen goes black , shows the picture for maybe two seconds"
I open Subway Surfers it crashes,it crashes
