review_content,final_label,user_story
"This app spread so much hate and evil. It destroyed families, friendships, relationships. It took jobs and spread racism, sexism, and immorality. It basically fathered all the other toxic apps like tiktok, bigo, and it eventually corrupted fun apps like instagram when it took over. We lost our privacy, we lost freedom and we lost our children in many ways. This app was the worst thing to happen to a global society. Its nothing like myspace was or yahoo which frankly pioneered social media but didnt get recognized for its stolen tech. The ceo allowed hate speech and fake news to destroy the dignity of government office. If less than 1 was possible I would give it",1,"As a concerned citizen, I want this platform to effectively moderate harmful content like hate speech, misinformation, and harassment because it is causing significant damage to individuals, relationships, and society as a whole. I believe that platforms have a responsibility to protect their users and promote healthy online interactions.  The current lack of moderation is leading to the spread of negativity and contributing to real-world harm. 
"
"So apparently I can report being hacked  and block that account but you do nothing ! My friends are sending me pictures of this woman who is showing up on my account and getting messages to borrow money!! Ive tried to recover my account to no avail ask fb for help with unhelpful responses cant say Ill be on much longer as soon as my friends get all my pictures recovered 

Thanks for nothing
Bj jennings
Formally Bernice Jennings 
Who use to be Bernice self till some troll had her killed off thats how good you are",2,"As a Facebook user, I want to be able to effectively report and resolve account hacks so that I can protect my identity and privacy. Currently, the reporting system is ineffective as it doesn't prevent impersonators from continuing malicious activities like sending messages requesting money and damaging my reputation.  I need a more responsive support system that helps me regain control of my account and remove unauthorized access. 
"
Apple made it so permission is needed to track what I look at on other sites yet its pretty obvious youre not following this. I like what Facebook fundamentally stands for originally but its getting to the point where the constant tracking of everything I look at is getting old how about a reply from you explaining this!,2,"As a user concerned about privacy, I want Facebook to respect my device's Apple tracking permissions and refrain from tracking my browsing activity on other websites. This will help me feel more in control of my data and restore trust in the platform. I would appreciate a transparent explanation from Facebook regarding their data collection practices. 


"
I cant trust this company after hearing about the censoring and the personal info watching. I immediately deleted the app and deactivated my account. Im sure that wont stop anyone from obtaining my info but it sure makes me feel better knowing its not just out there. Regardless of what privacy settings you have on your account.,2,"As a user concerned about data privacy, I want to be able to trust the platform with my personal information.

I need assurance that my data won't be censored or used for purposes beyond what I explicitly consent to, regardless of privacy settings. 
"
"If I could give 0 zero stars I would or even negative 5 stars better. After being on FakeBook for 13 years and not once being put in FakeMo jail, I ended up in jail 1 week before the 2020 Election because I supported DJT our true President. I never went back and will never go back. Im done being censored or told what to thinksay. Im a true Patriot and Constitutional Conservative, I refuse to be tracked by anyone. Im telling you conservatives that Telegram is there for you. We have everything and more with that great app. As far as Messenger? Theres an app for that too. Its Signal and it is encrypted, safe and private. I can keep track of all my family and friends. Please LEAVE FakeBook Twitter and IG! These apps are all tracking your purchases, marketing to you and influencing your political beliefs. DuckDuckGo is the best search engine and so is Presearch.org look into them! No tracking, no selling your data. Disable Google and all their cookies!",2,"As a conservative patriot concerned about censorship and privacy, I want to be able to freely express my political views online without fear of being silenced or having my data tracked. 

I need alternative platforms like Telegram and Signal that prioritize free speech and user privacy, allowing me to connect with family and friends securely.

I also need search engines like DuckDuckGo and Presearch.org that respect my privacy and don't track my online activity.
"
"This is without a doubt the worst social media app available. Its losing subscribers at an alarming rate. They spy on you even when your phone is off they are listening.They track your habits and attempt to influence the way you think, what you buy, and even how you vote. Their mind control tactics are synchronized in conjunction with Google and Twitter. So if youre really interested in going full AOC communist I recommend you get the whole package.",2,"As a user concerned about privacy and autonomy, I want this social media app to stop tracking my habits, influencing my thoughts and decisions, and potentially listening to me even when my phone is off.  I believe these practices are unethical and violate my trust. I also want transparency regarding any data sharing with other platforms like Google and Twitter. 
"
"The fact that they allow photos of my kids out float out there without my permission is absolutely horrendous. The photos are not from any family members. They are school pictures that allow name labeling without our permission.

Facebook will sell your data to the next highest bidder. Run away from this app.",2,"As a parent, I want control over which photos of my children are shared on Facebook and who can label them, so I can protect my children's privacy and prevent their images from being used without my consent. 

This story highlights the user's concern about:

* **Lack of control over photo sharing:** Photos of their children are being shared without their permission.
* **Privacy violation:** School pictures are being labelled with names without parental consent.
* **Data concerns:** The user expresses distrust in Facebook's handling of personal data. 


"
Facebook lies Facebook sells your data Facebook manipulates people by show them false information that fits there agenda but when you actually give out real facts and real studys they ban you for false information or dangerous individuals all facebook does is brainwash the masses and take away our rights. Facebook thinks they are so powerful they can do whatever they want like take away your first amendment rights of freedom of speech because it doesnt fit the narrative Facebook doesnt let you participate in the second amendment you try to show anything related to the second amendment and your banned for violence. Facebook is a evil communist controlled ap used  to takeaway our rights alone with Instagram and Twitter none of them allow the truth to be told all of them want world control,2,"As a user concerned about freedom of expression, I want Facebook to stop censoring content that contradicts its own agenda and allow for open discussion on topics like the Second Amendment. 

I also want Facebook to be transparent about its data collection practices and ensure my privacy is protected. Currently, I feel manipulated by biased information and fear being unfairly banned for expressing dissenting views. 
"
One star should be self explanatory after the data breach with no notification from Facebook. Even with changing the privacy settings Im still getting personalized adds even with the settings changed. Only on here until something better comes along.,2,"As a concerned Facebook user, I want to feel secure and in control of my data.

Because the recent data breach lacked any notification, and despite adjusting privacy settings, I am still receiving targeted ads, indicating ongoing privacy violations. 
I will continue using Facebook only until a more trustworthy alternative emerges. 
"
"Ive had an account for 13 years and spent thousands in advertising. I have memories on my personal account from people who are no longer alive. My account was hacked and the hackers posted something bad. I even have proof that I was unable to access my account that day. still, Facebook is going to delete my entire account because there is no way to disagree with this decision. The feature is broken. No one answers emails and the whole site is a big advertising piece of junk now.",2,"As a long-time user who has invested significantly in Facebook advertising and cherishes irreplaceable memories, I need a reliable account recovery process that allows me to dispute false accusations and regain access to my account.  

Currently, the system automatically deletes accounts based on reports without providing users a chance to defend themselves, leading to the irreversible loss of valuable data and connections. 
"
"I rarely to never use this app because of how outdated it is. Facebook as a corporate is garbage, they sensor free speech and fight against human rights advocates. I also loathe them for their data collection policy. Deleting this app.",2,"As a user concerned about freedom of expression and data privacy, I want the app to be updated with features that promote open dialogue and transparent data practices so that I feel comfortable using it without feeling censored or exploited. 


This user story highlights the user's desire for:

* **Updated Features:**  Implying the current version lacks modernity and functionality.
* **Freedom of Expression:**  The user explicitly mentions ""free speech"" and dislikes censorship.
* **Data Privacy:** The user expresses dissatisfaction with Facebook's data collection policies. 
"
"Why is the Dark mode option not available whenever I switch from my personal profile to my Fan page profile? The white screen on my laptop burns my eyes, I have really sensitive eyes. It makes it difficult to manage my Fan pages due to this mess!",2,"As a user with sensitive eyes, I want the dark mode option to be consistently available across all profiles, including fan pages, so that I can reduce eye strain and comfortably manage my pages. The current inconsistency between personal profile and fan page settings makes it difficult for me to use the platform effectively.  
"
"Facebook tracks users of google to websites they visit after doing searches evidenced by targeted ads which is an invasion of privacy.  Facebook censors users in various ways removing comments or posts claiming the user removed it when that is not a fact, fact checking opinions opinions are not facts, just users speaking their mind and Facebook doesnt like their opinions, giving warningsputting users in Facebook jail they cant post or comment for a specific period of time, if user disagrees time is extended or suspending users account, even not allowing users the ability to post scientific based evidence of specific topics that they dont like instead of letting users decide for themselves.  Facebook invades users privacy by using certain types of technology Apples Siri for example to listen into personal private conversations evidenced by extremely direct targeted ads that appear on users feed within hours of private conversation.  These ads are not related to anything the user has ever posted or commented about on Facebook, any other social media, or anywhere on the internet.  I or someone I personally know have had actually experienced each and every one of these issues with Facebook.  Apparently Facebook, specifically Mark Zuckerberg, believes he has every right to violate our rights, but we have no rights at all.",2,"As a user concerned about privacy and freedom of expression, I want Facebook to stop tracking my online activity after Google searches and using that data for targeted advertising because it feels invasive. I also want Facebook to stop censoring users by arbitrarily removing posts and comments, unfairly fact-checking opinions, issuing unjustified warnings and ""jail time,"" and suppressing evidence-based discussions on certain topics.  Finally, I want Facebook to cease using listening technology like Siri to collect personal information for targeted advertising purposes as it violates my privacy. 


"
"Flagging words, and then auto labeling content as factcheck to be missing content or partially incorrect, does NOT make you look smart.  There is NO WAY you can fact check personal information like the death of family member and say it is wrong when you do not know the family member.  You also cant factcheck a meme or photo.  
The FACT is FB is biased and needs a whole new overhaul!",1,"As a user concerned about accuracy and bias, I want Facebook to stop automatically flagging personal content as potentially false. 

I need the platform to understand that not all information can be fact-checked, especially sensitive details like family deaths or subjective content like memes and photos. This current system feels invasive and dismissive of users' experiences. 
"
"If you tipped Stalinburg upside down the entire CCP would fall out of his pocket. He employs CCP infiltrated staff to fact check and enforces fascism into his company standards by forcibly oppressing any opposition to his leftist, wokeracist, covidmaskvaxx worshipping ideologies. PS  Facebook isnt social media, its a data mining app that will be used against you in the future.",2,"As a user concerned about political bias and freedom of expression, I want Stalinburg's fact-checking practices to be transparent and unbiased, free from CCP influence, so I can trust the information presented on the platform and feel safe expressing my opinions without fear of oppression. 


**Explanation:**

This user story focuses on the core concerns raised in the review:

* **Political Bias:** The user explicitly mentions ""CCP infiltrated staff"" and ""leftist, wokeracist"" ideologies, indicating a perceived political bias.
* **Freedom of Expression:** The user feels ""forcibly oppressed"" for opposing Stalinburg's views, highlighting a concern about stifled dissent.
* **Transparency:** The user wants ""transparent"" fact-checking practices, implying a lack of trust in the current system.

The story avoids directly referencing inflammatory language and focuses on the user's desired outcome: a platform that is perceived as fair, unbiased, and open to diverse viewpoints. 
"
Im giving Facebook one star because I cant leave them negative stars lol. Anyway Facebook is so easy to hack. I recently had my account hacked on 122521 and ever since then Ive been trying to reach the facebooks security team. Both by phone and email that is provided and no luck. Whoever stole my Facebook changed the email and everything no matter what I do I cant get it back. So like I said I tried to contact Facebook and no one seems to care. What was supposed to be a fun social media app has turned into a nightmare for me. I use Facebook to stay in touch with family and friends far away from me and share pictures of our families. I have never violated any guidelines nor do I post inappropriate context for this to happen has ruined social media for me. I mean who hacks facebooks really its not like you got anything from me just a page with pictures and happy positive posts. But whatever.,2,"As a Facebook user who relies on the platform to connect with family and friends, I need Facebook to implement stronger security measures to prevent account hacking. Currently,  hackers can easily change account information, making it impossible for legitimate users to regain access. This lack of security has caused me significant distress and severed my connections with loved ones. 
"
"Im in Facebook jail without due process. They cant show me where I violated COMMUNITY STANDARDS, so essentially you are at their mercy and all they do is use your data. I now refer to Facebook as HATEBOOK or RACEBOOK. Its an ugly place that BOTs are taking over. Hatebook is going away like AOL and YAHOO",2,"As a Facebook user, I want to be informed of the specific community standards I allegedly violated when my account is restricted, so I can understand the reasons for the action and have a chance to appeal it fairly.  Currently, the lack of transparency feels arbitrary and makes me distrustful of the platform. 
"
Account was hacked and quickly lockeddisabled. Managed to change password but unable to progress with account recovery as I cant receive any text codes from their system. Looked into contacting customer support.. literally nothing. Some kind of help desk FAQ that is useless.. no phone number or email. Found a number but only a useless robot that led to nothing. Looked and noticed its happening to hundreds.. and scammers are taking advantage or causing it in the first place to pose as customer support to naive consumers. Where they then ask for money or personal information for help. What a joke.,2,"As a user, I want to be able to recover my account after it's been hacked and locked, even if I can't receive text message codes. I need reliable customer support options like phone or email contact to assist me with this issue because the current FAQ and automated system are unhelpful.  The lack of accessible support leaves me vulnerable to scammers who impersonate customer service representatives. 


"
"Gradually learn to hate your friends and family while earning money for a massive corporation all while receiving nothing in return. Block everyone and everything, give facebook no data, remove all personal information from facebook.",2,"As a Facebook user concerned about privacy and exploitation, I want to be able to easily block all communication and data sharing with friends and family, so that I can minimize my exposure to the platform while still potentially earning money through it.  

This story highlights the user's desire for granular control over their data and interactions on Facebook. They want the ability to earn rewards without compromising their privacy or engaging in social interaction. 
"
"Been trying to log into my account, but cant because the phone number and email on it are listed on other accounts too. Thank god I can steal several others accounts instead of logging into my own due to lack of support. They offer it, but for businesses and ad purchasers only. Personal accounts get an FAQ style support that solves nothing and only offers rudimentary information based on your needs. Most of which isnt helpful at all.",2,"As a user with multiple accounts linked to the same phone number and email, I want to be able to easily recover my account through alternative verification methods, like security questions or a linked social media profile. Currently, I can only access support through a limited FAQ which doesn't address my specific issue.  I need reliable customer support accessible to all users, regardless of their account type, to resolve login problems effectively. 
"
Its really annoying...I cant use my personal real account...where I have given every proof that facebook community need...than why my account is being disabled??? I recommend everyone not to use facebook...such a bad experience with their new meta...,2,"As a Facebook user, I want to be able to access my account using my real identity because I've already provided the necessary verification.  The repeated disabling of my account despite verification is frustrating and makes me question the reliability of the platform. This negative experience discourages me from recommending Facebook to others. 


"
Dark mode is missing from the App Settings and Privacy on the iPad Pro..why? It works without problem on my iPhoneit doesnt make sense. This seems to be an issue among many users and seems like it has been going on for some time now and has yet to be fixed. Please fix.,1,"As a user who prefers dark mode for eye comfort, 

I want the ability to enable dark mode within the App Settings and Privacy on iPad Pro,

so that I can have a consistent experience across my devices (iPhone and iPad) and avoid eye strain.

This feature is currently available on iPhone but missing on iPad Pro, causing inconvenience and frustration for many users. 
"
"All the censorship, political and otherwise is despicable.  This program was founded in America but it was founded on the most unAmerican ideals possible.  They will scour and steal every bit of data about you, they will track everything you do, and everywhere you go and in return they will silence and censor your opinions.  They may as well attempt direct enslavement as it is clear they want nothing more than absolute control.  Pathetic, and disgusting behavior unbecoming of the civilized world.",1,"As a user concerned about online freedom, I want the ability to express my opinions freely without censorship or fear of data exploitation.

I believe platforms should prioritize user privacy and refrain from tracking user activity for manipulative purposes. 

The current level of control feels oppressive and goes against the principles of an open and democratic society. 
"
"I hate that there is no one to talk to. My account was hacked after having it for 11 years and they changed my recovery email but anytime I sent in my IDs to add a new recovery email it said the information did not match the info on the account you mean the account that someone else probably changed by now!? You mean the thousands of photos dont match my drivers license or any of the past posts?? Like why dont you let me answer my security questions or ask me questions about my account to PROVE that its mine!! I was also told it would be deleted in 30 days if not claimed. I was sad. It relieved because I dont want some stranger to have all of that! And yet its still up.. Ive reported it, had other friends report it. Blocked it. Still upset because that had so many photos and good memories that I cant see anymore. Seriously there has to be more ways to recover an account or someone to talk to please!!",2,"As a long-time user with valuable memories stored on the platform,

I want to have access to a human representative or alternative recovery methods like answering security questions, 

so that I can regain access to my hacked account and prevent the deletion of irreplaceable photos and personal data.


The current system of submitting ID for recovery is insufficient as it relies on information that may have been changed by the hacker.  
"
"With every update it gets worse and worse!!! Why update if it gets worse? Do you even test the app before releasing an update? Seriously like come on! For those in charge of pressuring the developers to release updates to meet demand is absolutely wrong and have no regard to releasing an unfinished or untested update. Marketplace messages is an absolute mess, Facebook searches gives me random results not remotely close to what Im searching and recommending randoms that dont pertain or have no relevance to me. I understand needing advertising for profit but this is ridiculous. Way to sell out! Settings are an absolute nightmare to use and changes made are not shown aside from daily surprises of new features that no one wants! Fix the current problems first and then come up with new features smh. Please reevaluate priorities. I hope devs see this. Supremely disappointed!",2,"As a user, I am frustrated with the frequent updates that worsen the app's functionality.

I need the marketplace messages to be improved for easier communication. Facebook searches should return relevant results instead of random suggestions. The abundance of irrelevant advertising is also a major concern.

Before introducing new features, the developers should prioritize fixing existing issues like the confusing settings menu and inconsistent display of changes. 
"
"Dont you just love how a multibillion dollar company doesnt have any support or call center not like it would help, anyways.  

Ive found tons of bugs and ways to track who enters or hacks your account  but no one to address the issues and you lose photos of your mother who passed and birth photos and such you store on Facebook.

Ive tried again later like its been years later.  Funny how easy it is to track contacts these days .",2,"As a user concerned about data security, I want Facebook to provide reliable customer support options, including phone or chat assistance, so that I can report critical issues like account vulnerabilities and unauthorized access. This is essential because losing irreplaceable photos due to platform bugs or security breaches is deeply distressing.  
"
"Facebook doesnt care about their users. They refuse to reinstate chronological timelines, filter out friends you dont interact with enough and actively create echo chambers. App is more concerned about pushing Facebook agenda than allowing free thought. Privacy is not a priority.

The app and website are politically immersed and actively encourage antiSemitic and antiIsrael messaging.",2,"As a user who values authentic connections and diverse perspectives, I want Facebook to prioritize chronological timelines and customizable friend filtering so I can engage with content and people that matter to me. I also need the platform to actively combat hate speech and misinformation, ensuring a safe and inclusive online environment for all users.  


"
"I feel that I am unfairly being banned from Facebook and messenger. I was hacked and FB immediately blocked me and said I would probably be banned.    
I use Facebook to keep in touch with my children, grandchildren family and military friends all over the U.S.
 I only have one phone number and it has apparently been blocked as well
Can someone please be adult enough to let me know how I can access FB once again.
Grannie",2,"As Grannie, I want a clear process for regaining access to my Facebook account after being unfairly banned due to a hack, so that I can reconnect with my children, grandchildren, family, and military friends. I need support in verifying my identity despite having only one phone number associated with the account.  

"
"Has become a right wing propaganda machine fueled by profits. No real honest shut down of disinformation. Tracking information we do not want tracked. Instagram has become a market place and is full off bots with to many ads. 
SMH",2,"As a user concerned about misinformation and privacy, I want Instagram to effectively combat the spread of false information and right-wing propaganda.  I also want more control over my data and reduced tracking. Additionally, I would like to see fewer ads and bot accounts so that the platform feels less like a marketplace and more like a space for genuine connection. 
"
"Ive been a member of Facebook since the death of my space . I was recently banned for posting something in Messenger in a private group of friends. They removed my accounts form messenger, Facebook and Instagram.  I lost everything. Because of their Community standards of spying on private chat groups . Lost all of my pictures from over a decade as well as logins to third party apps and mobile games  which I invested time and money .  Im Contacting my attorney . This is not the last Facebook will hear from me !",2,"As a long-time user who relies on Facebook for social connection and data storage,

I want the ability to have private conversations without fear of being banned based on content deemed inappropriate by Facebook's Community Standards, 

so that I can maintain my online relationships and access important personal data, like photos and login information for third-party apps. 
"
"Constantly mutes the voices of activists. No real system to challenge accusations of community standards violations, allows racism on its platform but blocks, warns and mutes the activists who point it out. Awful privacy violations and generally a crap service. 

If I could write this review and give zero stars I would.",1,"As an activist trying to raise awareness about important issues, I want the platform to have a fair and transparent system for addressing accusations of community standards violations so that I can effectively challenge unjust silencing and continue my activism without fear of being unfairly muted or blocked. 

I also need the platform to take concrete action against racism and hate speech instead of targeting those who speak out against it. 
"
"Ive noticed that when I post a status, I can no longer edit it after its posted that option is no longer available. So I cant fix an error or add a photo or change anything once its posted. This is ridiculous and annoying. I can still edit privacy, trash the post, archive it, but the edit post option is no longer there. Ugh. Why update the app if there are more glitches and nonsensical changes like removing an edit post option.",2,"As a user who frequently posts statuses, I want to be able to edit my posts after they have been published so that I can correct errors, add photos, or make other changes. Currently, the only options available after posting are to edit privacy settings, move the post to the trash, or archive it. Removing the ability to edit posts is frustrating and inconvenient. 
"
