SL,Data,App,Type,USER_STORIES
39,"would be amazing if a feature/switch were added so that newly installed apps didn't automatically send smart notifications from the get-go. otherwise a good app, its just that one flaw.",Garmin Connect,feature_request,"As a Garmin Connect User, I want to have the option to turn on and off smart notification within the app so that I can do it manually."
40,Doesn't always record the correct number of steps. For me averages 1/2 what was actually done. Have to uninstall and re install to get it correct for a little while.,Samsung Health,problem_report,"As a Samsung Health User, I want the app to show me the accurate steps data so that I can keep track of it."
41,Spent 3 days unsuccessfully trying to pair with my Android phone and then it just connected no problem. A bit annoying but other than that a good app.,Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to connect with android devices smoothly so that I can use it  on my android."
42,Terrible decision to limit monthly challenge to that 200k limit. What a joke. Please fire the idiot who made that decision.,Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to setup monthly limit more than 200k so that I can setup bigger goal."
43,"hi, i like the app but i feel it's missing a bar scanner for the food part, like My Fitness does.",Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to scan barcode of the foods which I consume so that I can see calorie of that food easily."
44,"there is no option in app for chane watch face style! i think u're limit some of option for some countries, and that is not fair! i Use the best model of huawei phone and smart watch but i can't use applicatins completely :(",Huawei Health,feature_request,"As a Huawei Health End User, I want to have more watch face style so that I can try out other watch face styles."
45,I am using huawei gt 2 This app has sooo disappointing watch faces.without any custom for faces.And it looks so poor and not in 3d model at all.samsung has more features and more customs for their watches and i have a bit of shame on you huawei,Huawei Health,feature_request,"As a Huawei Health End User, I want to have custom 3d watch faces so that I can try out new watch faces."
46,"Clearly structured and intuitive app. The transfer/sync of my rowing erg sessions to the adidas app doesn't work though. As soon as this will work, the app is worth 5 stars to me.",Huawei Health,feature_request,"As a Huawei Health End User, I want to have the integration option with Adidas app so that I can see data of my activites which was recorded in adidas app."
47,"Only uses bluetooth, which is great if you own a vivoactive but not so great if you own a forerunner 910xt",Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to connect with forerunner 910xt smoothly so that I can use it there."
48,"This app is now pretty worthless since Samsung dropped the weight tracker (weekly, monthly), as well as the food (calories) and caffeine trackers. Not a smart move by Samsung.",Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to record my weight and food cunsumption weekly, monthly so that I can keep track of my weight and food consumption."
49,Doesn't sync my honor band data. Stops measuring heart beats. Repeats same reading again and again. Looses connection with band frequently,Huawei Health,problem_report,"As a Huawei Health User, I want to the app to sync with honor band and show me accurate heart beats so that I can keep track of it."
50,"Sleep data ok on watch but not logging on health app still, even after update too current version ending 331, not worked all this year . App will record naps ok now, Still not sorted .",Huawei Health,problem_report,"As a Huawei Health User, I want the app to show me correct sleeping data so that I can keep track of it through the app."
51,"I do dancing for cardio, it logs it as walking and it stops tracking in between songs. It's not accurate and I miss my fitbit.",Samsung Health,problem_report,"As a Samsung Health User, I want the app to show me correct exercise name i.e dancing and show me correct cardio data so that I can keep track of valid data."
52,"Can't use my Fitbit. Any time I'm typing using the keyboard, phone defaults to home screen. Have to push everything 3 times to get a reaction. Not impressed. This is my 3rd Huawei, it will be the last.",Huawei Health,problem_report,"As a Huawei Health User, I want the app to be more responsive so that I can use it easily."
53,Tool a 8 hike mile this app showed less than 3 miles. Reinstalled app now seem to be working correctly.,Samsung Health,problem_report,
54,Great app. I would like to see more variety in the badges. Can be abit repetitive and also very few new ones added outside or the monthly challenges,Garmin Connect,feature_request,"As a Garmin Connect User, I want to see more variety in the badges so that I can try out the new ones."
55,Great app with lots of data! My only concern is the time it takes to update the app from my watch.,Garmin Connect,feature_request,"As a Garmin Connect User, I want the app to complete the update quicker in my watch so that I can use it earlier."
56,I wish there was a weight lifting option to choose in the workout section. I have a honor band 5i.,Huawei Health,feature_request,"As a Huawei Health End User, I want to have the weight lifting category under workout section so that I can keep track of my weight lifting data."
57,More than half the app in Chinese even though I selected English unistalled and reinstalled and still the same. Not helpful at all.,Huawei Health,problem_report,"As a Huawei Health User, I want the app to show app data in English so that I read and understand them easily."
58,"Huawei Health doesn't go with a SmartWatch Huawei Classic!!! But, another app: ""Sleep as Android"" yes! it works with my watch!",Huawei Health,problem_report,"As a Huawei Health User, I want the app to connect with SmartWatch Huawei Classic."
59,I heared customers out of China could use new watch faces but I couldnt find shuch ability. Also weather notification dont work. I am disappointed really.,Huawei Health,problem_report,"As a Huawei Health User, I want to have the option in the app to use new multiple watch faces so that I can try them."
60,"When I measure stress out heart rate the screen sometimes freezes and I have to restart my phone. Otherwise, I like the app but wish there was a way to enter other exercises.",Samsung Health,problem_report,"As a Samsung Health User, I want the app to show me correct heart rate data so that I can monitor them regularly."
61,"As of 9/1/19, cannot set or reset data permissions to sync step data with apps and block other apps from seeing data.",Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to sync data with third party app so that I can see my samsung health data in other apps."
62,Nice app but I think it's fake.when I check my health sometimes it's say 68 sometimes 98 and sometimes 118 this fake or real I have note 4,Samsung Health,problem_report,
63,"I upgraded to an Samsung S6. Now my Garmin won't Sync at all. I uninstalled the app and installed it back, still won't sync. It's been 3 weeks. What else can I do? It is very frustrating!",Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to sync with my Samsung  S6 so that I can use the app without any hassle on that device."
64,Needs a community like fitbit. I feel no need to open the app because it feels like there's no real competition.,Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to connect with multiple communities so that I can feel the competition to workout."
65,before i paired Honorband 4 to my device i had installed this app & whats strange is started counting my steps ...How its possible ?.. although its not showing correct data,Huawei Health,problem_report,"As a Huawei Health User, I want the app to connect with Honorband 4 so that I can use the app on that device."
66,Crashes every time I attempt to allow Smart Notifications to my Garmin Fenix meaning my smart watch is just a watch.,Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to show me smart notification so that I can use the app. without any hassle on that device."
67,After the latest update the app is not even opening for me it keeps on crashing. The device I use is a Redmi note 4 with 3 gigs of ram. Now i can't sync my honor band 4 with my phone. Very disappointing Huawei.,Huawei Health,problem_report,"As a Huawei Health User, I want the app to sync with Honorband 4 and Redmi Note 4 so that I can use the app on those devices."
68,I am unable to install other faces for my Honor Magic Watch 2 using the app. I couldn't find any option to do so. Not sure why my watch isn't supporting different dials or why I couldn't find that option in the application. Any help?,Huawei Health,feature_request,"As a Huawei Health End User, I want to have the option to install other watch faces so that I can try out other watch faces."
69,App stopped syncing with samsung gear fit2 pro after update. It was working perfectly fine before. I wish I can go back,Samsung Health,problem_report,"As a Samsung Health User, I want the app to sync samsung gear fit2 so that I can watch it egularly."
70,"Used to be even better, but recently the daily reminders that I would get each morning to track my sleep have stopped all of a sudden and I'm not sure why. I checked my settings and still no luck. Otherwise, I would rate higher.",Samsung Health,problem_report,"As a Samsung Health User, I want the app to show me daily reminders in regular basis so that I can keep track of them."
71,It is basic.. But doesn't remind for logging foods or starting an activity. Also should give weight loss tips and advice for each day..like noom coach,Garmin Connect,feature_request,"As a Garmin Connect User, I want the app to give me reminder for logging foods and starting activity so that I can feel the push to record data and use the app regularly"
72,"Great app, but the massive banner ads as soon as I open the app for a watch I already have and the fact that there's no option to turn them off really ruins the experience for me.",Samsung Health,feature_request,"As a Samsung Health End User, I want to have the option to turn off the banner during start up of the app so that I can see clean interface of the app each time I open the app."
73,Aftsr latest update gt2 doesnt connect to internet. Cannot show weather data and cant check for update... Also cant change watch faces. Also probkems in help page... Simply notngood,Huawei Health,problem_report,"As a Huawei Health User, I want the app to get update and connect internet properly so that I can see updated weather data."
74,Could use some haptic or visual feedback to acknowledge user interaction as the UI is a bit slow to respond. But other than that it does everything it's supposed to do.,Huawei Health,feature_request,"As a Huawei Health End User, I want to have visual feedback and smooth UI so that I can use the app easily."
75,"latest update has broken the app, it wont sync steps from my Huawei Band 3 Pro, it is rubbish at the moment. it doesn't show data correctly on the home screen either. its a mess!! sort it out.",Huawei Health,problem_report,"As a Huawei Health User, I want the app to sync with Huawei Band 3 pro so that I can see steps data easily."
76,Trouble with new updation of device.. I'm using Huawei GT2e.. when I start my cycling i set workout outdoor cycling in watch.. but its doesn't showing the distance..,Huawei Health,problem_report,
77,"Bluetooth connection getting lost, not loading with recent update. No login was required earlier, now it's asking for that, don't understand the logic.",Huawei Health,problem_report,"As a Huawei Health User, I want the app to connect with Bluetooth devices properly so that I can connect with my other devices."
78,The app want many updates and the AI plan is not working and keep telling loading error touch to retry,Huawei Health,problem_report,
79,"Please add watch face for honor band 4. Feel disappointed, they launch new honor band 5. But until now, no new watch face for honor band 4. I wish we are not trash for honor band 4 user.",Huawei Health,feature_request,"As a Huawei Health End User, I want to have the option to install watch face for Honor band 4 so that I can try out new watch face."
80,"Why I can't change the watch faces.?.the screen shows nothing when I click the watch faces..few days ago,I can change my watch faces..",Huawei Health,problem_report,"As a Huawei Health User, I want to have the option in the app to use new multiple watch faces so that I can try them."
81,"Data sharing needs to be fixed, my weight and activity data doesn't appear properly in Google fit. It should have more support for other activities like indoor cycling which is my case (the Huawei band has this listed as an activity, but not the app)",Huawei Health,problem_report,
82,"Km count is totally wrong-where in reality I have 15 m,app counted 2 km!!  Pedometer too not trustable,walked with friend the same amount-very long  distance,I had ~12000 steps, she - 30000. At the end of the walk different  notifications about different length.",Samsung Health,problem_report,
83,Latest update does not show calories burned.  Could be 4 or 5 stars with just a few tweaks.  I do love the heart rate chart and other detailed workout info though.,Garmin Connect,feature_request,"As a Garmin Connect User, I want to see the calories burned information in the app so that I can keep track of burned calories"
84,Can't rest my password asking everytime old password trying rest my password is not possible why u guys are so sick. To make app for coustomer convince not for ur own First change these type of idiot things from app,Huawei Health,feature_request,"As a Huawei Health End User, I want to have the option to reset password without asking old password so that I can setup new password."
85,"Great app continuously improving. only thing I'd change is to have more training programs available for different distances, but I expect that's coming soon.",Garmin Connect,feature_request,"As a Garmin Connect User, I want to have more training programs for different distances so that I can join multiple traning programs."
86,"I have to verify my phone number at least every other day, even though I use it very regularly. That is extremely annoying. Other than that I mostly like the app.",Samsung Health,feature_request,"As a Samsung Health End User, I want to verify my phone number just once during sign up so that app doesn't ask for phone number verification each time I login."
87,I've just bought vivofit 2 and the watch works great with the heart rate strap as I can see when I'm maxing out etc. BUT the heart rates/activities will not sync with the app. All I get is steps and calories burned. Help!!,Garmin Connect,problem_report,
88,Please let us connect to VeryFitPro app. Bought an affordable smart watch and want to be able to connect them. Please!,Samsung Health,feature_request,"As a Samsung Health End User,  I want to have the integration option with VeryFitPro app so that I can see data of my activites which was recorded in VeryFitPro app and vice versa."
89,My vivosmart hr stopped syncing data with this update (even though it's clearly connecting). I advise against downloading until this is resolved.,Garmin Connect,problem_report,
90,A very handy app but occasionally it's slow to connect to my device.  I recently changed from a Nokia mobile phone which is not fully supported to an android device which is. I recommend this app.,Garmin Connect,feature_request,
91,"Great app, means this huawei is trying best to keep customer satisfied, every week they are updating 3 to 6 watch faces means it's awesome ❤️. I really love the way they are making beautiful watch faces and i hope that huawei will continue updating watch faces and new features",Huawei Health,feature_request,
92,app keeps crashing! i have a Samsung Galaxy S10 with the latest SW update (G973U1UEU1ASD8) please fix this and I'll edit this review to 5 stars,Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to work on Samsung Galaxy S10 so that I can use the app."
93,would like to see an upgrade on the iQ apps. I use a lot for biking. don't like the fact that it doesn't stop the clock when I stop at a light,Garmin Connect,feature_request,"As a Garmin Connect User, I want the countdown to stop when I stop at a traffic signal  during by-cycling."
94,The stupidest app there is even when ur lying on bed shaking the phone or in a moving car the pedometer keeps counting steps.... Total bullshit,Samsung Health,problem_report,"As a Samsung Health End User,  I want the app to be more accurate in calculating steps during activities so that I can see actual data, not made up data."
95,Why does it not work on the Xiaomi MI4 phone? Seems strange that on a new phone it would not work. Does the phone software just need to be updated??,Garmin Connect,problem_report,"As a Garmin Connect User, I want the app to work on Xiaomi MI4 so that I can use the app on the device."
96,Every time crashing inspite of continuous updates and even reinstalled many times... please let me know via email how can i contact you.? Called on the number but the call center couldn't help.,Samsung Health,problem_report,
97,One more update. Find a way to give steps for cyclists. There's no way people do hundreds of thousands of steps everyday. It seems dishonest that I don't want to be part of it.. uninstalling..btw the GPS seems to be working fine now.,Samsung Health,problem_report,
98,"I used to love this app.. now it dosent even work properly. It dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore..",Samsung Health,problem_report,
99,Horrible app. Doesn't count the steps & the distance in minutes properly at  all. Very very bad app. Needs immediate rectification.,Huawei Health,problem_report,"As a Huawei Health End User,  I want the app to be more accurate in calculating steps and distance during activities so that I can see actual data, not made up data."
100,I have a bug. I connected the application to MyFitnessPal. After  synchronisation I have a few hundred thousands of calories burnt in  MyFitnessPal.,Huawei Health,problem_report,
101,"Since the last update, it is spotty on when it wants to work... I used to love it. I can't even track my food anymore.",Garmin Connect,problem_report,As a Garmin user I want to get the latest update of the app so that I can track my food activity or use other features without any problem after any new update.
102,"App now crashes upon startup. Worked great for a couple years, but now it won't even open. Support won't help with the issue.",Garmin Connect,problem_report,As a Garmin user I want proper tech support so that I can take help to use the app.
103,It keeps getting stuck at the steps screen for me. Keeps loading forever and hangs :( the rest of the app works fine though..,Samsung Health,problem_report,As a S-Health user I want to use step feature without any stuck so that I can track my steps.
104,Great application to view your statistics at a glance collected when actively utilizing your Garmin devices. The only occasional problem is with location and data fetching for weather however it might be due to my location itself.,Garmin Connect,problem_report,As a Garmin user I want the accourate location wise weather data sync so that I can understand my statistics data related to weather
105,Improve ur app man and add some more features to smartwatch ui it getting boring add camera shutter and voice assistant and add feature to stop continues heart rate monitor change navigation animation and add drink water reminder etc,Huawei Health,feature_request,"As a H-Health user I want use camera shutter feature by voice assistant so that I can use camera from smartwatch app

As a H-Health user I want to on/off feature into the heart rate monitor feature so that I can control the feature.

As a H-Health user I want to drink water feature so that I can remind drinking water time."
106,Update: latest update of galaxy a5 did the trick- pairing reenabled. Wish Garmin had communicated the android issues in the play store! 2 months without basis functionality!   Original review: Unable to pair galaxy a5 2017,Garmin Connect,problem_report,As a Garmin user I want to pair my galaxy a5 device with the app so that I can use the app properly.
107,"Notifications does not work with Huawei P20. One day works, after does not. P.S battery optimisations etc things of course are disabled for this app. :-( Hard reset of the phone, OS upgrades, app reinstall, repairing does not help, next day same issue.",Garmin Connect,problem_report,As a Garmin user I want to get the notification feature using my Huawei P20 so that I can use the app properly.
108,Since the last update my watch does not want to connect to the app! And cannot update anything! Iv got a Garmin F3nix,Garmin Connect,problem_report,As a Garmin F3nix user I want to connect to the app after last update of my watch so that I can update my existing data.
109,Definitely like the older version. With this one there is no longer an option to measure pulse and O2 level(Stress) using the phone. Please bring that back.,Samsung Health,feature_request,As a S-Health User I want the feature compatibility when new version is there so I that I can use pule ans O2 level using my phone.
110,"App was working fine, until new update. The app is now not recognizing the device. Coming up with error when trying to sync it.",Garmin Connect,problem_report,As a Garmin user I want to see that app can recognize my device so that I can use the updated software 
111,step count is not correct but it was never a issue for me if it is 2 - 4% but in running its sarting with 10 to 15 % less secount while running scren geting off as normal app which is irritating.,Huawei Health,problem_report,"As a H-Health user I want correct steps and running count so that I can check the progress.

As a H-Health user I want screen on/off options during use the running feature so that I can check the progress."
112,Tha app ALWAYS crashes and drains the battery. It take forever to sync up right with my Samsung watch. It will sync but the data won't match! So I have to do EVERYTHING twice????????,Samsung Health,problem_report,"As a S-Health user I want to sync with my samsung watch with proper data so that I can use the app properly 

As a S-Health user I want to know the data sync time with my samsung watch so that I can understand the required time to wait.

As a S-Health user I want to sync my samsung watch in single try not multiple time sync.

As a S-Health user I want optimised app which does not drain my device battery so that I can use the app properly."
113,"I loved this for over 2 years, then it began to stop, not function properly, shut off, etc. I uninstalled it the reinstalled it, but it no longer announced my data at each mile. It was silent. Frustrating.",Samsung Health,problem_report,As a S-Health user I want to know get proper notification so that I can understand why the app is not running
114,"bad, had to reinstall after repeatedly crashing, now won't pair with my watch, even after updating watch (from laptop) and app. I don't have time for this, this watch cost a fortune",Garmin Connect,problem_report,
115,Worked perfectly with an x40 before the latest update. After the update it just doesn't sync golf scorecards which end up getting lost. Happened twice now. Just went back to the previous version and worked perfectly. Needs another update.,Garmin Connect,problem_report,As a Garmin user I want roll back previous stable version so that I can use the app.
116,"Excellent app, it help me to lose weight and encourages me to live a healthy life, although it's a pity it can't pair with mi band directly, I wish it could😔",Samsung Health,feature_request,As a S-Health user I want to MI band support so that I can use the app with MI watch
117,Used my vivofit for over a year and app worked just fine but now since recent updates I can no longer synch my vivofit to any of my mobile devices.  If this continues I will move on to another brand of fitness tracker.,Garmin Connect,problem_report,As a Garmin user I want to use my existing vivofit after any new update
118,"Weird. Was working perfectly, then on version 511, syncing w Honor Band 5 always stops ard 78%. Naps gets synced, but sleeps don't. The band does show sleep detected.",Huawei Health,problem_report,As a H-Health user I want roll back previous stable version so that I can use the app with all funtional features.
119,"I have enjoyed my watch and the app for a year, until the recent app update. The latest version doesn't connect my watch (Forerunner 35) to my phone (Nokia 5.1). I have tried all troubleshooting suggestions and nothing helps.",Garmin Connect,problem_report,As a Garmin user I want to use my existing watch after any new update
120,Really want to use the app how ever it won't let me sign in. I've reset my phone. Cleared my cache deleted and re added the app and still won't allow me to log on,Samsung Health,problem_report,As a user I want to signup in S-Health app so that I can use the app
121,"Loved this app but not giving it permission to MAKE and MANAGE calls on my phone. If it’s not to make and manage, then you need to edit the way it is worded when you want me to agree.",Samsung Health,feature_request,As a S-Health user I want user friendly access permission feature so that I can manage call feature from my watch
122,This app is reports data from my fitness pal incorrectly. Completely different weight shown for yesterday days entry in my fitness.  Very disappointed!,Garmin Connect,problem_report,As a Garmin user I want correct and stable data sync with my fitness pal so that I can measure the progress
123,Step tracker is no longer accurate. It said I took 600 steps the whole hour I was walking. I'm pretty sure I took more than 600 steps if i was walking for over an hour and I had my phone in my hand the whole time.,Samsung Health,problem_report,As a S-Health user I want correct step tracker data so that I can measure my target accordingly 
124,"The step count is inaccurate. Please fix. Make it more sensitive to movement, because if I don't strap it to my leg or  arm the step count is too low...",Huawei Health,problem_report,As a H-Health user I want correct step tracker data so that I can measure my target accordingly 
125,This app is very much bad app. Because before i am running app is saying 5 kcal burned you and i am running fast but app is saying your average speed is 3 kilometers per hour🤬.,Samsung Health,problem_report,As a S-Health user I want correct step tracker data so that I can measure my target (calori burn) accordingly 
126,"As of version 4.42 I can no longer sync activities from my Garmin 810 to my Samsung galaxy android via Bluetooth. Up until April 28, 2021 it was working ok",Garmin Connect,problem_report,As a Garmin user I want to use my existing devices after any new update
127,All YouTube videos talk about a large watch face library in the app for the fit... I do not even have watch faces in the app at all... I'm using a brand new fit watch and the latest app and firmware... Very disapointing,Huawei Health,problem_report,
128,Does not work unless installed on a Huawei phone. Tech supports suggests side loading rather than fixing their own stupid app.,Huawei Health,problem_report,
129,Getting error on start . Hauwai health services 4.0.0 required which is not available on play store.. I am using Samsung galaxy s10,Huawei Health,feature_request,
130,It's a nice app.. can be improved by making it work in standalone mode also.. i.e without internet connection and upload data when internet is available,Garmin Connect,feature_request,As a Garmin user I want offline sync feature so that I can sync my existing device with out internet
