review_content,final_label
"I like to delete andor hide almost everything I have previously seen from FB on a daily basis. Now FB is sending out more of their own garbage than I get from friends. Even though I have clearly requested NO memories, they keep sending more and more. Their reporting system is a waste of time. The buttons on anything they send you dont work and when used just eats up data for hours at a time. I am flooded with Suggested Pages, Friendverseries, Videos, etc and the buttons dont work. The more you report, the more they send.",2
"It is amazing that Facebook refuses to listen to those who want to use the app but find it a waste of time.  We know you make your money by ads, we could care less.  I have seen thousands of requests to allow users to set how they see their feed, most recent, all comments, etc. but you continue to shovel feed with comments most relevant a unique way to say we will only show you what we want you to see, top posts instead of all posts, again a way of censoring.  This truly is becoming the most inconvenient way of trying to communicate while being the biggest corporation spying on everyones action including what you do on the net that has nothing to do with Facebook.  Their trackers are monetizing every action you do.",2
"This app has completely went downhill !!! NOT A LICK OF FREEDOM LEFT , THEY MONITOR ALL OF YOUR PERSONAL INFO EVEN WHEN APP ISNT BEING USED. If you try to change your own personal information, you cant until after 30 security questions then it still wont let you. BEYOND POLITICAL AND RACIST. Quick to flag people of color posts but let them be white they can say all the racists things on social media that they want !",2
Ive had the same Facebook since 2009 somebody hacked me I can I want to go to my page theres so many photos and memories on that page business accounts and now I have no access to get in there I no longer use that email address and cannot change the password somebody hacked into my stuff tonight somebody please point me in the right direction,2
"If you want your data stolen, download this app. If you want Facebook to spy on you, download this app. If you want your data sold, download this app. Constantly having to change settings so they do not have access to my camera, mic, contacts etc. after each update is just incredibly messed up. Download at your own risk! I will never get back on this app",2
"Theyve changed the algorithms to make it more difficult for those trying to advertise their business. They censor what information theyd like you to receive. They track every piece of your existence and collect every ounce of information about you, your usage etc. They also access your microphone anytime they see fit.",2
"My Facebook page got hacked and its no way for me to retrieve it. The person took over my whole account. Every time I try to recover it, it goes to his information. He has tried to get money from my friends and he tells them that my son is sick. This is terrible and Facebook need to find a better way in recovering people page. Lori Allen was my Facebook page and now its a man up there. Very disappointed.",2
"I can create an avatar on Instagram and on one of my Facebook business pages but I still cant create one on my personal page where I would actually use it! Please for the love of God, fix this. My app is up to date and Im using an iPhone 12 Pro Max so it isnt my device or the app thats the problem. I have even logged into my account on other peoples phones who have the avatar feature and it works for their account but not mine. What the heck, Facebook?!",2
"This app spread so much hate and evil. It destroyed families, friendships, relationships. It took jobs and spread racism, sexism, and immorality. It basically fathered all the other toxic apps like tiktok, bigo, and it eventually corrupted fun apps like instagram when it took over. We lost our privacy, we lost freedom and we lost our children in many ways. This app was the worst thing to happen to a global society. Its nothing like myspace was or yahoo which frankly pioneered social media but didnt get recognized for its stolen tech. The ceo allowed hate speech and fake news to destroy the dignity of government office. If less than 1 was possible I would give it",1
"So apparently I can report being hacked  and block that account but you do nothing ! My friends are sending me pictures of this woman who is showing up on my account and getting messages to borrow money!! Ive tried to recover my account to no avail ask fb for help with unhelpful responses cant say Ill be on much longer as soon as my friends get all my pictures recovered 

Thanks for nothing
Bj jennings
Formally Bernice Jennings 
Who use to be Bernice self till some troll had her killed off thats how good you are",2
Apple made it so permission is needed to track what I look at on other sites yet its pretty obvious youre not following this. I like what Facebook fundamentally stands for originally but its getting to the point where the constant tracking of everything I look at is getting old how about a reply from you explaining this!,2
I cant trust this company after hearing about the censoring and the personal info watching. I immediately deleted the app and deactivated my account. Im sure that wont stop anyone from obtaining my info but it sure makes me feel better knowing its not just out there. Regardless of what privacy settings you have on your account.,2
"If I could give 0 zero stars I would or even negative 5 stars better. After being on FakeBook for 13 years and not once being put in FakeMo jail, I ended up in jail 1 week before the 2020 Election because I supported DJT our true President. I never went back and will never go back. Im done being censored or told what to thinksay. Im a true Patriot and Constitutional Conservative, I refuse to be tracked by anyone. Im telling you conservatives that Telegram is there for you. We have everything and more with that great app. As far as Messenger? Theres an app for that too. Its Signal and it is encrypted, safe and private. I can keep track of all my family and friends. Please LEAVE FakeBook Twitter and IG! These apps are all tracking your purchases, marketing to you and influencing your political beliefs. DuckDuckGo is the best search engine and so is Presearch.org look into them! No tracking, no selling your data. Disable Google and all their cookies!",2
"This is without a doubt the worst social media app available. Its losing subscribers at an alarming rate. They spy on you even when your phone is off they are listening.They track your habits and attempt to influence the way you think, what you buy, and even how you vote. Their mind control tactics are synchronized in conjunction with Google and Twitter. So if youre really interested in going full AOC communist I recommend you get the whole package.",2
"The fact that they allow photos of my kids out float out there without my permission is absolutely horrendous. The photos are not from any family members. They are school pictures that allow name labeling without our permission.

Facebook will sell your data to the next highest bidder. Run away from this app.",2
Facebook lies Facebook sells your data Facebook manipulates people by show them false information that fits there agenda but when you actually give out real facts and real studys they ban you for false information or dangerous individuals all facebook does is brainwash the masses and take away our rights. Facebook thinks they are so powerful they can do whatever they want like take away your first amendment rights of freedom of speech because it doesnt fit the narrative Facebook doesnt let you participate in the second amendment you try to show anything related to the second amendment and your banned for violence. Facebook is a evil communist controlled ap used  to takeaway our rights alone with Instagram and Twitter none of them allow the truth to be told all of them want world control,2
One star should be self explanatory after the data breach with no notification from Facebook. Even with changing the privacy settings Im still getting personalized adds even with the settings changed. Only on here until something better comes along.,2
"Ive had an account for 13 years and spent thousands in advertising. I have memories on my personal account from people who are no longer alive. My account was hacked and the hackers posted something bad. I even have proof that I was unable to access my account that day. still, Facebook is going to delete my entire account because there is no way to disagree with this decision. The feature is broken. No one answers emails and the whole site is a big advertising piece of junk now.",2
"I rarely to never use this app because of how outdated it is. Facebook as a corporate is garbage, they sensor free speech and fight against human rights advocates. I also loathe them for their data collection policy. Deleting this app.",2
"Why is the Dark mode option not available whenever I switch from my personal profile to my Fan page profile? The white screen on my laptop burns my eyes, I have really sensitive eyes. It makes it difficult to manage my Fan pages due to this mess!",2
"Facebook tracks users of google to websites they visit after doing searches evidenced by targeted ads which is an invasion of privacy.  Facebook censors users in various ways removing comments or posts claiming the user removed it when that is not a fact, fact checking opinions opinions are not facts, just users speaking their mind and Facebook doesnt like their opinions, giving warningsputting users in Facebook jail they cant post or comment for a specific period of time, if user disagrees time is extended or suspending users account, even not allowing users the ability to post scientific based evidence of specific topics that they dont like instead of letting users decide for themselves.  Facebook invades users privacy by using certain types of technology Apples Siri for example to listen into personal private conversations evidenced by extremely direct targeted ads that appear on users feed within hours of private conversation.  These ads are not related to anything the user has ever posted or commented about on Facebook, any other social media, or anywhere on the internet.  I or someone I personally know have had actually experienced each and every one of these issues with Facebook.  Apparently Facebook, specifically Mark Zuckerberg, believes he has every right to violate our rights, but we have no rights at all.",2
"Flagging words, and then auto labeling content as factcheck to be missing content or partially incorrect, does NOT make you look smart.  There is NO WAY you can fact check personal information like the death of family member and say it is wrong when you do not know the family member.  You also cant factcheck a meme or photo.  
The FACT is FB is biased and needs a whole new overhaul!",1
"If you tipped Stalinburg upside down the entire CCP would fall out of his pocket. He employs CCP infiltrated staff to fact check and enforces fascism into his company standards by forcibly oppressing any opposition to his leftist, wokeracist, covidmaskvaxx worshipping ideologies. PS  Facebook isnt social media, its a data mining app that will be used against you in the future.",2
Im giving Facebook one star because I cant leave them negative stars lol. Anyway Facebook is so easy to hack. I recently had my account hacked on 122521 and ever since then Ive been trying to reach the facebooks security team. Both by phone and email that is provided and no luck. Whoever stole my Facebook changed the email and everything no matter what I do I cant get it back. So like I said I tried to contact Facebook and no one seems to care. What was supposed to be a fun social media app has turned into a nightmare for me. I use Facebook to stay in touch with family and friends far away from me and share pictures of our families. I have never violated any guidelines nor do I post inappropriate context for this to happen has ruined social media for me. I mean who hacks facebooks really its not like you got anything from me just a page with pictures and happy positive posts. But whatever.,2
"Im in Facebook jail without due process. They cant show me where I violated COMMUNITY STANDARDS, so essentially you are at their mercy and all they do is use your data. I now refer to Facebook as HATEBOOK or RACEBOOK. Its an ugly place that BOTs are taking over. Hatebook is going away like AOL and YAHOO",2
Account was hacked and quickly lockeddisabled. Managed to change password but unable to progress with account recovery as I cant receive any text codes from their system. Looked into contacting customer support.. literally nothing. Some kind of help desk FAQ that is useless.. no phone number or email. Found a number but only a useless robot that led to nothing. Looked and noticed its happening to hundreds.. and scammers are taking advantage or causing it in the first place to pose as customer support to naive consumers. Where they then ask for money or personal information for help. What a joke.,2
"Gradually learn to hate your friends and family while earning money for a massive corporation all while receiving nothing in return. Block everyone and everything, give facebook no data, remove all personal information from facebook.",2
"Been trying to log into my account, but cant because the phone number and email on it are listed on other accounts too. Thank god I can steal several others accounts instead of logging into my own due to lack of support. They offer it, but for businesses and ad purchasers only. Personal accounts get an FAQ style support that solves nothing and only offers rudimentary information based on your needs. Most of which isnt helpful at all.",2
Its really annoying...I cant use my personal real account...where I have given every proof that facebook community need...than why my account is being disabled??? I recommend everyone not to use facebook...such a bad experience with their new meta...,2
Dark mode is missing from the App Settings and Privacy on the iPad Pro..why? It works without problem on my iPhoneit doesnt make sense. This seems to be an issue among many users and seems like it has been going on for some time now and has yet to be fixed. Please fix.,1
"All the censorship, political and otherwise is despicable.  This program was founded in America but it was founded on the most unAmerican ideals possible.  They will scour and steal every bit of data about you, they will track everything you do, and everywhere you go and in return they will silence and censor your opinions.  They may as well attempt direct enslavement as it is clear they want nothing more than absolute control.  Pathetic, and disgusting behavior unbecoming of the civilized world.",1
"I hate that there is no one to talk to. My account was hacked after having it for 11 years and they changed my recovery email but anytime I sent in my IDs to add a new recovery email it said the information did not match the info on the account you mean the account that someone else probably changed by now!? You mean the thousands of photos dont match my drivers license or any of the past posts?? Like why dont you let me answer my security questions or ask me questions about my account to PROVE that its mine!! I was also told it would be deleted in 30 days if not claimed. I was sad. It relieved because I dont want some stranger to have all of that! And yet its still up.. Ive reported it, had other friends report it. Blocked it. Still upset because that had so many photos and good memories that I cant see anymore. Seriously there has to be more ways to recover an account or someone to talk to please!!",2
"With every update it gets worse and worse!!! Why update if it gets worse? Do you even test the app before releasing an update? Seriously like come on! For those in charge of pressuring the developers to release updates to meet demand is absolutely wrong and have no regard to releasing an unfinished or untested update. Marketplace messages is an absolute mess, Facebook searches gives me random results not remotely close to what Im searching and recommending randoms that dont pertain or have no relevance to me. I understand needing advertising for profit but this is ridiculous. Way to sell out! Settings are an absolute nightmare to use and changes made are not shown aside from daily surprises of new features that no one wants! Fix the current problems first and then come up with new features smh. Please reevaluate priorities. I hope devs see this. Supremely disappointed!",2
"Dont you just love how a multibillion dollar company doesnt have any support or call center not like it would help, anyways.  

Ive found tons of bugs and ways to track who enters or hacks your account  but no one to address the issues and you lose photos of your mother who passed and birth photos and such you store on Facebook.

Ive tried again later like its been years later.  Funny how easy it is to track contacts these days .",2
"Facebook doesnt care about their users. They refuse to reinstate chronological timelines, filter out friends you dont interact with enough and actively create echo chambers. App is more concerned about pushing Facebook agenda than allowing free thought. Privacy is not a priority.

The app and website are politically immersed and actively encourage antiSemitic and antiIsrael messaging.",2
"I feel that I am unfairly being banned from Facebook and messenger. I was hacked and FB immediately blocked me and said I would probably be banned.    
I use Facebook to keep in touch with my children, grandchildren family and military friends all over the U.S.
 I only have one phone number and it has apparently been blocked as well
Can someone please be adult enough to let me know how I can access FB once again.
Grannie",2
"Has become a right wing propaganda machine fueled by profits. No real honest shut down of disinformation. Tracking information we do not want tracked. Instagram has become a market place and is full off bots with to many ads. 
SMH",2
"Ive been a member of Facebook since the death of my space . I was recently banned for posting something in Messenger in a private group of friends. They removed my accounts form messenger, Facebook and Instagram.  I lost everything. Because of their Community standards of spying on private chat groups . Lost all of my pictures from over a decade as well as logins to third party apps and mobile games  which I invested time and money .  Im Contacting my attorney . This is not the last Facebook will hear from me !",2
"Constantly mutes the voices of activists. No real system to challenge accusations of community standards violations, allows racism on its platform but blocks, warns and mutes the activists who point it out. Awful privacy violations and generally a crap service. 

If I could write this review and give zero stars I would.",1
"Ive noticed that when I post a status, I can no longer edit it after its posted that option is no longer available. So I cant fix an error or add a photo or change anything once its posted. This is ridiculous and annoying. I can still edit privacy, trash the post, archive it, but the edit post option is no longer there. Ugh. Why update the app if there are more glitches and nonsensical changes like removing an edit post option.",2
Looks like Facebook is tracking every move I make even though I stated and turned off all tracing and tracking procedure that telling me to do but still being tracked off Facebook even on safari they can trace every move I do. And there is no freedom of speech or an opinion all censored,2
"They spy on you Deny free speech Censor opinions, and facts. If you like having your Constitutional rights violated, your information being sold to third parties, liberal propaganda. Being monitored by over sensitive nazis then fascistbook is for you.",2
So I think its suspicious that whenever I have Facebook installed on my phone the apps that I use the most stop working. The zuck also made it so he can spy on what you search on other apps so he can sell your information. So it doesnt surprise me that he disables other apps so youre forced to use Facebook now that everyone else is leaving it.,2
"im guessing they have such a monopoly on social media that the company and developers have nearly no incentive to fix anything. ive had the same exact bugs persist across devices an major OS updates. 

ones I can recall atm that frustrate me to no end
video resets every time I rotate the screen
opening facebook kills my background audio
no dark mode on ipad not a bug, just a complaint

this company makes billions of the data we provide to them for free, the least they can do is make an app that freaking works well and have their developers on top of keeping the app a pleasant experience with minimal bugs. if you need to hire more developers, then do that",2
Is the app incredibly glitchy even though it really shouldnt be? Yes. Will Facebook steal all data they could possibly obtain and sell it without your consent? Yes. Will they pretend to be a quirky tech company from Cali while actually subverting democracy and monopolizing the internet? Yes. But what else are you gonna do? Find a social media company with integrity? I didnt think so.,2
Was scrolling through my news feed and all of a sudden it sends me a message saying I have to verify my personal info. It asks for a passcode that was sent to my phone only I never received a passcode. I am now locked out.,2
"I am so disappointed with Facebook! I never post anything controversial, yet my Facebook was disabled a little over a week ago and now I received an email that it has been permanently disabled! Ive lost all my pictures and videos. Ive also lost access and information to every app that was connected to Facebook. FYI, when you create accounts for other apps, dont use your Facebook account to log in to those.",2
"This app was okay in the beginning but has become a tyrant in the industry. Constantly gets hacked, sells our info, no privacy or security. My app has been on the fritz again all week causing me to miss business ad posts due to not even being able to see content on my profile. Super tired of Zuckerberg and his complicity in completely disregarding everything its users want. Cant wait for the next big thing to come out. Cause this one is definitely not it anymore!",2
I can only use my Facebook App as my business and can no longer get to my personal page. I am not happy about that. Facebook still works fine on my desktop and my laptop so it is definitely the app that is the problem,2
"I opened my account in 2008. I got a new phone and rye app said it could recognize my device. Wouldnt even accept my password. Sent them my license and picture holding the date and a video they requested. Its been 5 months and still no access to my account and no responses from facebook. Theyve since closed my account. I had all my dead fathers posts and photos on there. Im very upset and annoyed at Facebook. They say they try to protect your information yet they steal yours!!!

Also that censor anyone who doesnt align with their agenda. They cant be trusted.",2
"Far too many ads, which are completely irrelevant to me. One would think with data collection Facebook would at least, send me ads Im interested in. The Marketplace  is useless. Most of the groups are angry people searching for like minded individuals who will mimic their complaints. And, yes, some children are still posting their food. 

Bad app, very bad app.",2
"So is Apple! Now they make it so you have to use the apps and not the browsers, easier tracking and spying. Unfortunately so many things and people use FB and other crappy platforms that limit your use and spy on you. Our world is doomed because of this trash and for allowing it to continue you get reap what you sow.",1
This app is the worse. Its create with the porpoise of tracking you and see what or who you talk with. This type of app it should be often changing of developer and app platform to the people have a little bit mor me of privacy,2
"Its worst designed application with zero privacy consideration, randomly engineered app, Sad to say zuckerberg major part of life was on creating amp supporting childish app. Fking zuckerberg for creating many privacy damages.",1
My account was hacked and Facebook deleted it. I lost all the pictures I had of my child. Contacted Facebook and they did absolutely nothing despite the fact that the hacker private messaged me and made legitimate threats to me. Facebook didnt even respond to me.,1
"All you do is silence anyone who speaks against your FAILED narrative, and then badger people by shutting down their accounts which is their source of revenue. I think its time we shut off access to your source of revenue so you can see exactly how it feels! We are DONE letting you mine our data for free! Your dream of smart cities is about to be flushed down el toileto ",2
"I keep getting the same spam bots on my Facebook telling me Im the winner, Im reported it and Ive blocked every bot, its the same profile picture on each of the spam bots page. Also Ive been getting notifications from random garage sale groups Im not even apart of",2
"Pictures will not open also

Between the privacy violations, the unjust property theft of any and all content accessed, and now the biased, blatant sensorship Im DONE with Facebook! Uninstalled for good! Facebook has continually and increasingly pushed steps towards invading the users privacy and rights to speech for YEARS now with NOTHING being done to stop it and Im DONE. I wouldnt even be writing this if it werent for the fact that this app DESERVES far more poor ratings.",2
"Seriously Facebook. Your new changes just get worse and worse. Too many ads. Every time I log in, I just want to close it and deal with it later. And the ads are just useless, not even slightly interesting. I find myself spending less and less time on your platform. Stop trying to pretend you actually care about privacy or connecting people.",2
"How come we still can39t see our timeline on the iPad?!?!? This should be the most amazing app ever!

UPDATE This company makes me sad, I was hacked last night and there has been zero way to restore my account. The hackers quickly within an hour changed all my info and added a 3rd party two factor authentication code that prevents me from moving past it . Your company is protecting the hackers and do not care about the actual account holder. Please make this right.",2
"Facebook has lots of issues even for our safety at this point we are all thinking is mark suckerburgh really help our privacy or just sucking our privacy away by putting our global security at risk with problematic safety concerns 100 but Facebook needs to hear us out and not from mark Zuckerberg immature ideas and fixes to Facebooks interface, algorithms, updates, ect. so Im giving this app and website including Facebook Messenger a one star ",2
"This app is horrible. It gives you constant notifications, even when alerts are turned off. The privacy issues and constant spying are despicable. They always want you to enter your phone number and never stop asking. To top it all off you cant turn the green active dot off even if you select to leave it off.",2
Maybe stop infringing on peoples rights and if youre going to correct someone use factual information. This is the most politically biased crock of s i have ever seen in my life. Breaking every law in the books and then telling everyone else theyre wrong just because they dont think the same. Waste of time and they are selling your info anyway.,2
Please take off the people you may know that are always so present on everyones pages. Literally I dont need your help advertising friends friends on my page. Its an absolute invasion of privacy. I dont care to see these people I dont want to know them. Please make it stop.,2
How does a company this big not have a single person to contact about my account being hacked!!! The hacker has changed all of my log in information and help center is no help at all! I have had my account for over 15 years and my family and life is in that account! I need my account back!,2
"Was hacked a few ago and being trying to get my account back 
With no help from Facebook. Send infos that ask for still nothing ..they ask me for code generator I cant open my Facebook to get 
Anyone else has this issues ..??",2
"Ive gotten banned twice a month and I havent even used this app much to share my opinion like I used to. I got banned for sharing a motivational quote with a male chest showing working out followed by a ban for trying to sell a post pregnancy girdle. Its pathetic. Theres nothing you can do about it since you pay them with you private DATA, but have to accept their abuse without being able to appeal.",2
"This app and company engages in censorship and supports the Israeli governments war crimes and genocide. I am thoroughly disgusted by Facebook. This company has a total lack of morality. No surprise tho given that they sell our info, and their company founder cheated his cofounder out of millions ",1
I do remember better days for Facebook. A time when it acted as versatile tool that could both monitor the kids and look for a used garden tools. Now its political  advertising and old people looking to mingle. The groups of Facebook are gone. For some reason the green thumb group just vanished one day. The gymnastics parents group just vanished one day. Facebook is a washed up old data base much like digging through and old box of paperwork at your xwives house. Goodbye.,2
"Facebook be constantly spying on my google searches, censoring my post, censoring the post I see. They update the app constantly and then my preferences change and I get 30 notifications that arent relevant.",1
"My account just hacked by a unknown user and I tried to proof Im the real user by my passport but you guys said that doesnt help... if a passport cant proof my identity, then what can I do? You want my DNA or something? By the way, theres no customer help number that I could call. Now Facebook became a free information reference for any hackers right now? What a shame....",1
"They will go out of their way to silence anything  to benefit their personal political views, no freedom of speech here better platforms would be Tik tok . . I have had pictures and videos removed for no reason only because I stand in solidarity for human rights in Palestine and the owners of Facebook are 100 is really Zionist that oppose the movement and they will silence anyone who doesnt fit the narrative",2
"I can not log in to my account on the app because it claims I have no internet service, which is crap! I can do everything else on my phone! I also can not even access Facebooks page on Safari or Chrome! The pages literally will not open. I did everything suggested, still nothing!",2
"They take no accountability for the real life consequences of their inactions to moderate the content that is posted to the site. App endlessly plays mindless videos to mesmerize you into wasting time on the app. Its worse than watching TV.

FB threw a fit when Apple made changes to iOS that benefit their users privacy. I used to be skeptical of the people who said that Facebook is greedy and super unethical, but its fairly evident now that it may be true.",2
"Why is the editing button gone? It's our personal post, taking away to add or delete what we've said should be against your policy. You are making, what was thought a freedom of speech and the want to share with the public andor friends very hard to accept. Give us back the choice to edit our posts!!",2
I cant post a status or click on anyones profile without it saying error fetching data not only that fb will ban you if you breath the wrong way no freedom of speech what so ever if I could Id give them 5 star rating,2
My instagram has been hacked rather easily. the same account is linked to my facebook but for some reason i cannot unlink the instagram  which i no longer have access to from my facebook account which i do have access to. There are scams all over Facebook  instagram running wild even though with just a bit of tech support all these issues could be solved. How you a billionaire and cant fix minor issues like this?,2
"Ive gotten two consecutive 30 day bans over nothing and there is no recourse, no one to go to.  Ive had several friends get their business pages stolen and Facebook does nothing.  But they let scammers sell fraudulent products like million dollar watches for 100 which they never deliver just steal the money.  But god forbid you post anything about politics or COVID19 and theyll be all over you.  Facebook is run by crooks.",2
Im not downloading the app. and facebook decided to punish us by refusing to serve users with the same basic features that are apart of the app and desktop sites by removing them when using a mobile phone browser. 0 stars. Do not recommend. Horrible development,2
"I hate this app. All of the casual advertisements popping up after having a private conversation in person about it is a violation of my privacy. This app also silences conservatives, but has allowed sensually explicit spam videos on private community based pages, even after reporting with video and photo evidence. Pure trash.",1
"Facebook has a Broken 2 Factor Authentication System. My facebook has two different linked accounts. Unfortunately it doesnt have my mobile number linked so it made it even worse to recover my account. I recently got my i phone 8 replaced because the screen of my older phone broke completely which meant my phone still worked but the screen didnt which gave me no acess to the phone so i had to replace it to another i phone 8. Everything transfered smoothly from one phone to another. Except when i tried to log in it logged me in but facebook didnt recognize the browser of my brand new replacement phone and told me to use the authentication app which i didnt have access to. I have no other known browsers, u tried resetting my password just to be told i need a code from the facebook code generator but youd need access to your facebook account wich i dont have, facebook cant send me an SMS code because my mobile number isnt linked to it, i filled a report and since facebook doesnt have representatives or costumer service i have to wait an eternity. Im disappointed! I cant even log in with my email and i have two if them linked.",2
"My account was stolen from me yesterday, where they changed my phone number email and passwords. I never gave them permission to change anything. 

So if you cant get in, there is no way to access the help center. There is no phone number for customer support. 

All because a friends account was hacked? I had very few friends on this platform. Never befriended anyone I did not know. This program is unsafe and terrible. 

Even the police struggle to access them for support. No wonder people die. Shame on Facebook. This day and age, problems like this are unheard of. Worst programs ever.",2
Fakebook is a social platform set up by the see I A designed to track and monitor every thing you have ever posted and store all your information . They are co conspirers in the election fraud and they steal our rights to freedom of speach . They promote violence and lies and they suppress the truth . Fakebook is as fake as Bydon is prez.,2
"My account was hacked by someone who was on my friends list. A gift card was purchased using my account. Messages of fraudulent nature were sent to several friends. On top of this, several accounts in my name were created. And I could not edit or change my data. My name has been used to message me! Facebook. You are on your way out if you cant respond and act on reports that jeopardize my privacy!",2
"Facebook Policy only works for them in order to get more stronger, I think they should be neutral when it comes to human privacy and share the correct news data not misleading people on what they think right and not.",2
"My account was hacked and the help support page sent me in loop. Im unable to recover my account and one of my backup emails got spammed by the hacker. 

There is no live supportchat for this issue. Fortunately I had disconnected most of my apps that used Facebook. Unfortunately the hackers have my account some private information and access to my friends that started to receive spam as well.",2
"Somehow this apps advertising just happens to know exactly what Im talking about at all times, this includes live conversations. Ive talked about taking trips somewhere without ever inputting anything into my phone and VOILA! An advertisement about going to Hawaii after TALKING about it.",1
All the updates that you say to make the app better its a lie you take more control put more ads in and take more of my privacy away! It scares me when a friend post something and when I go to read it a popup comes up from what they posted using my name that the southern party should not know and asking me to join,2
"If I could rate 000, I would, FakeBook! FB has become a part of the swamp! You have suppressed our freedom of speech by fact checking every data posted that does not agree with your personal political select! You have censored everyone that does not agree with your political agenda! Joe Biden is not the president elect according to the US constitution which you have failed to acknowledge. Yall dont get to appoint a president elect! The electoral college system does! BTW, President Trump is still the sitting president!",2
"My Facebook account has been hacked and I have tried EVERYTHING in my power to contact support to get it back up and working for ME! Ive emailed multiple people. Tried to call some numbers I found, did the Facebook.comhacked and it just keeps putting me in circles. 
I have very important information on my Facebook for my business account and I cant even get into anything anymore.

I have tried to send in a form of ID and once I did they were able to update my account to the correct email but they stupidly forgot to take the hacked email off and didnt make mine the primary email so the hacker kept getting the password reset emails and kept just changing the passwords because I would even get any emails to do so..

Facebook support is trash! 

If you ever have any issue they will NOT HELP YOU! 
And now that All the Business information I have is out there thanks to Facebook not being secure enough or help at all , I lost everything. And I am STILL trying to get it back.. so if Facebook support sees this.. I really would appreciate it if you would help me for once! 

Thanks!",2
DEACTIVATED MY ACCOUNT ALMOST A DECADE AGO TO FIND SOME ONE HAS HACKED AND RESTARTED IT USING MY POHOTOS AND NAME TO FORWARD THEIR AGENDA AND FACEBOOK REFUSES TO HELP!!!! DO NOT DOWNLOAD IT COULD RUIN YOUR LIFE!!!!! FACEBOOK IS A SCAM!!!  RUN!!!!,2
"The title summarises the feel of been subject to an arbitrary system, dystopic while inefficient, including continuous breaks of personal privacy. All by Facebook. Really takes a lot of work to become this bad, and it should not be allowed to operate in the public realm as a company. Apple should reconsider allowing this app in their system.",2
"If you want your privacy invaded in every possible way, download this app. They asked for my drivers license, and blatantly stated in the app stores description that theyll have access to EVERYTHING in your media devices database. 

Beware!!!!",2
"Facebook is no longer safe in any way! Dont put up pictures because they are now property of Facebook and you no longer have rights even a picture of your own child. 
Any information is sold about you to whoever wants to pay or it. 
COMPLETE SECURITY BREACH!!!",2
Sick of their lies and hiding information that the users deserve to know. They have been stealing and using our information for years IMO illegally and I have finally had enough and deleted their app. They have zero right to hush one side of any information unless it is truly dangerous to another person like a threat. Unbelievable. Its time they are shut down! Life is a lot less stressful without this fake site playing the man above.,2
