data,app,type,user_story
All of sudden my approach 20 watch keeps changing to 24 hr clock when i connect to app. If i uninstall app watch will stay on 12 hr clock. Update created problem. Tried everything to fix made dure everything was zet for 12 hr clock. App is useless right now,Garmin Connect,problem_report,"Here's a user story derived from the review:

""As a user, I want the app to maintain my Approach 20 watch's 12-hour clock setting when connected so that the app doesn't disrupt my preferred time format by incorrectly switching it to a 24-hour clock.""
"
At first I loved this app. Today I walked and walked and my steps aren't going up. I'm part of a challenge and thanks to Samsung health I look like I barely walked today. Sort this out please. I'm missing my QFF points because it's not working.,Samsung Health,problem_report,"Here's a conversion of the review into a user story:

As a user participating in step-based challenges or earning rewards (like QFF points), I need the app to accurately track my steps and synchronize correctly with other health data sources (like Samsung Health) so that I receive appropriate credit for my activity and don't miss out on rewards.
"
"Flat out doesn't work. Profile never ever saves, you can reset it 10 times doesn't help. So many glitches too many to mention. What a pity, good looking app that is so frustrating because it just doesn't work. I use it only for workouts as the rest is useless.",Huawei Health,problem_report,"Here's a breakdown of the review and a possible user story:

**Understanding the Review:**

The review expresses significant frustration with the app's core functionality. The user highlights:

*   **Profile Saving Issues:** The user's profile data doesn't save properly, rendering profile-related features useless.
*   **Numerous Glitches:** The app is riddled with unspecified glitches.
*   **Limited Usefulness:** The user only finds value in the workout feature, suggesting the rest of the app is non-functional for them.
*   **Overall Frustration:** The user conveys a strong sense of discouragement due to the app's unreliability.

**User Story Options**

Here are a few user story options, ranging in scope:

**Option 1 (Focus on Profile):**

""As a user, I want my profile information to be saved and accessible so that I can personalize my experience and easily access my settings.""

**Option 2 (Broader & Addresses Core Functionality):**

""As a user, I want the app to function reliably and without errors so that I can use all its features effectively and have a positive experience.""

**Option 3 (Addresses Profile Saving and Glitches):**

""As a user, I want my profile information to save correctly and the app to be free of major glitches so that I can utilize all features without frustration.""

**Explanation of Choices:**

*   **Option 1** Directly addresses the profile issue. It's good if the development team wants to tackle that specific problem first.
*   **Option 2** Is a very broad story that highlights the general instability of the app. This is a good starting point if the app needs a general overhaul in terms of reliability and bug fixing.
*   **Option 3** Strikes a balance between addressing the most prominent issue (profile saving) and acknowledging the presence of more widespread problems (glitches).

Choose the user story that best reflects the primary takeaway from the review and aligns with the current development goals. If the profile issue is the most critical and blocks user access to other features, focus on Option 1. If the app is generally unstable, option 2. And option 3 if you want to address the most important issue, but leaving room to solving major glitches too.
"
Great apps for tracking your healthy lifestyle. However it would be nice if i can connect to other calorie counter othet than myfitnesspal because my previous phone was having problem with mfp. Looking forward to use new features such as period & water tracker,Garmin Connect,feature_request,"Here are a few options for user stories based on the review, each focusing on a different aspect:

**Option 1 (Focus on Alternative Calorie Tracker):**

*   As a user, I want to be able to connect to calorie tracking apps other than MyFitnessPal (e.g., LoseIt, Cronometer) so that I have more flexibility in choosing apps that work best for me and can continue tracking my calories even if I have issues with MyFitnessPal.

**Option 2 (Focus on New Features - broadest):**

*   As a user, I want the app to include period and water intake tracking features, so that I can track more aspects of my healthy lifestyle in one place.

**Option 3 (Splitting into multiple Stories):**

*   **User Story 1:** As a user, I want the app to connect to other calorie counter apps besides MyFitnessPal so I can use the tracking app of my choice.
*   **User Story 2:** As a user, I want the app to include a period tracker so I can conveniently track my menstrual cycle.
*   **User Story 3:** As a user, I want the app to include a water tracker so I can monitor and improve my daily hydration.

I would recommend option 3 because it divides the review into separate actionable user stories that can be implemented independently by the development team.
"
"Love it so far. Would be good if you could add micronutrient summary to the food planner, I'd like to track my sodium intake in particular.",Samsung Health,feature_request,"As a user, I want the food planner to include a micronutrient summary, especially sodium, so that I can easily track my nutritional intake.
"
"Can't seem to set age and weight, every time I set it correctly it changes to some random number. It also seems to disconnect from the watch quite regularly. It has great potential to be great but it's just lacking at the moment.",Huawei Health,problem_report,"Here's a breakdown of the review and a possible user story:

**Breakdown of the Review:**

*   **Problem 1:** Age and weight settings are not saving correctly and reverting to random numbers. This creates frustration and mistrust of the data.
*   **Problem 2:** Frequent disconnections from the watch. This interrupts the user's experience and makes the app unreliable.
*   **Positive Sentiment:** Acknowledges the app's potential.

**User Story Options (prioritized by severity of the problem):**

**Option 1 (Focus on Data Accuracy):**

""As a user, I want the app to accurately save my age and weight information so that I can trust the data it provides and use it effectively.""

**Option 2 (Focus on Connection Stability):**

""As a user, I want the app to maintain a stable connection with my watch so that I can have an uninterrupted user experience.""

**Option 3 (Broader, Encompassing both issues):**

""As a user, I want the app to reliably save my settings and maintain a consistent connection with my watch so that I experience a stable and trustworthy application.""
"
"Lately I am very frustrated with the app. I need to pair my watch every time it lost bluetooth connection with my phone. I see people with similar complains. Hope garmin can solve this soon, otherwise I'd be forced to get a different watch. Phone: Samsung A32 Watch: Vivoactive 4",Garmin Connect,problem_report,"As a user with a Garmin Vivoactive 4 watch and a Samsung A32 phone, I want the app to automatically re-pair with my watch after a Bluetooth disconnection so that I don't have to manually re-pair it every time, which is a frustrating experience.
"
Please make the app working in other devices too. It asks for latest version of Huawei mobile services. We can't buy a separate mobile to make the app work. So please make it working,Huawei Health,feature_request,"As a user, I want the app to be compatible with a wider range of devices, including those that don't have the latest version of Huawei Mobile Services, so that I don't have to purchase a new device to use the app.
"
I like all the different exercises that your app can keep track of...I only hope there was a way to make corrections.. Like when you forget to stop an exercise and keeps going...its cheating bit I dont know how to change it...,Samsung Health,feature_request,"Here's the user story conversion of the review:

**User Story:** As a user, I want the ability to edit or correct exercise data (e.g., duration, start time) so that I can maintain accurate records even if I forget to stop the tracking or need to adjust information.
"
Can't link my watchfit as it doesnt appear in device list even after updates. Worse thing is asking for random permissions -camera location call before letting a person use the fitness band. Why is it even necessary to link the fitness band with the phone to start with? Deeply disappointed,Huawei Health,problem_report,"Here's the review converted into a user story:

As a user, I want to be able to connect my Watchfit device without issues, and I want to understand why the app requires certain permissions (camera, location, call) before I can use the fitness band, and ideally, be able to use the basic fitness band features without needing to connect to my phone at all, so that I can easily track my fitness and understand the reasons for the necessary app permissions.
"
smooth sailing so far. I like that my current running pace is shown but would like to see average pace too? If possible. Otherwise awesome app,Garmin Connect,feature_request,"As a runner, I want the app to display my average running pace, in addition to my current pace, so that I can better track and understand my overall performance.
"
Well I was keeping all my data on there and try to check my blood pressure but now I have to sign in which did refuses to let me do it,Samsung Health,feature_request,"As a user, I want to be able to reliably log in to the app, even after keeping my data stored there, so that I can consistently access and monitor my blood pressure information.
"
"They ask too much permissions that too mandatory.. Govt of india is correct in banning othere chinese apps. Why you need phone, call, location and so much ser use data analytics that too not optional ?",Huawei Health,feature_request,"As a user, I want to understand why the app requires certain permissions and have the option to grant or deny non-essential permissions, so that I can feel secure about my data privacy and informed about the app's functionalities.
"
Keeps crashing. Won't even open. I followed all the troubleshooting guides with no change. Customer service was no help. Makes the money I spent on the venu a huge waste! I want a refund!,Garmin Connect,problem_report,"As a user, I want the app to be stable and reliable so that I can access and use its features without crashing and to prevent feeling I've wasted money on the associated service/product.
"
"Awful, it won't let me even open the app unless I allow per.issions in the settings which I have. I used to use this app alot",Samsung Health,feature_request,"Here's the user story conversion:

As a user, I want the app to open and function properly after granting the necessary permissions so that I can access its features without facing technical issues.
"
"Include a barcode/QRcode scanner beside the ""search"" field of the food  section (of scanning did packaging will retrieve nutritional information of  the food product into S-Health).",Samsung Health,feature_request,"As a user, I want a barcode/QR code scanner next to the search field in the food section so that I can scan food packaging and quickly retrieve its nutritional information in S-Health.
"
App is great! I always use it everytime I workout. My suggestion is that please add a support to Mi Band 4 or allow sync to Mi Fit App. That would be awesome.,Samsung Health,feature_request,"As a user, I want the app to support Mi Band 4 or allow syncing with the Mi Fit app so that I can track my workout data seamlessly.
"
"Latest version has severe connectivity issues, both to phone and external pulse band. Keeps disconnecting all the time. It's really frustrating and makes the product essentially worthless.",Garmin Connect,problem_report,"As a user, I want the app to maintain a stable connection with both my phone and external pulse band so that I can reliably track my data and use the product as intended.
"
no dark mode no achievement recorded no weekly / monthly target shown. no stress data syncing with running band takes a hell lot of time. pls fix this asap in new update.,Huawei Health,feature_request,"Here are a few options for the user story, broken down for clarity and focusing on different aspects of the review (prioritizing user goals):

**Option 1 (Comprehensive):**

""As a user, I want a dark mode, achievement tracking, weekly/monthly target visualizations, and faster stress data syncing with my running band so that I can fully utilize the app's features and accurately track my progress in a comfortable and timely manner.""

**Option 2 (Focus on Frustration):**

""As a user, I want a more complete and functional app experience with features like dark mode, achievement tracking, clear target visualizations, and reliable running band data sync so that I am not frustrated by missing features and slow performance.""

**Option 3 (Breaking it down into smaller stories):**

*   ""As a user, I want a dark mode option so that I can use the app comfortably in low-light environments.""
*   ""As a user, I want the app to record my achievements so that I can track my progress and feel motivated.""
*   ""As a user, I want to see weekly and monthly targets so that I can understand my goals and strategize accordingly.""
*   ""As a user, I want stress data to sync quickly with my running band so that I have access to up-to-date information.""

**Explanation of Choices & Considerations:**

*   **Option 1** is the most direct conversion of the review into a single, comprehensive user story. It covers all the points, but it can become unwieldy for developers, especially if each element requires significant effort.

*   **Option 2** focuses on the underlying user need and frustration. It highlights the desire for a complete and smooth experience. It provides a high level goal.

*   **Option 3** breaks the review into multiple, smaller, more manageable user stories. This approach is often preferred in agile development since each story can be independently estimated, prioritized, and implemented.  This addresses each individual issue that the user is facing.

Which option to use depends on the project's needs and how user stories are typically handled.  The broken-down stories (Option 3) are generally the most useful for development teams.
"
"Use to have no issues, lately im having no end of device connection issues and also Bluetooth syncing issues, spent £120 on a Bluetooth enables garmin because I have limited computer access, but Bluetooth is just shocking",Garmin Connect,problem_report,"As a user with limited computer access, I want reliable device connection and Bluetooth syncing, especially with my Bluetooth-enabled Garmin device, so that I can use the product as intended without constant connection problems.
"
I will no longer use this app based on most recent update. There is absolutely no reason for me to grant permission to access my contacts or calls. Very disappointing as I have been a long time user.,Samsung Health,feature_request,"As a user, I want to use the app without granting access to my contacts or calls so that I can maintain my privacy and continue using the app with confidence.
"
"It worked fine for 2days from the installation after that its showing Loading.. When I opened the app, and all so not counting my steps properly in my J5. Pls help...",Samsung Health,problem_report,"Here's a possible user story based on the review:

""As a user, I want the app to consistently load and accurately track my steps (especially on my J5) after the initial installation period, so that I can rely on the app for its intended purpose.""
"
"Connects well on xperia 10 phone and gt2 pro watch, good charts and map to reference workout. The hight and weight setting don't set properly, only fault.",Huawei Health,problem_report,"As a user, I want the app to correctly save my height and weight settings so that the workout data displayed is accurate.
"
Not happy at all it won't sync at all this must be fixed or try other alternative to use another app if this one won't work I'm tired of waiting for this app to be fixed ,Garmin Connect,problem_report,"As a user, I need the app to sync reliably so that I can access my data and continue using the app without frustration.
"
the only thing I have a problem with is the that the food caloric measurements arent accurate. I added in and item that was on the list and it didnt add in the protein counts.,Samsung Health,problem_report,"As a user, I want accurate caloric and macro-nutrient (specifically protein) measurements for food items so that I can reliably track my dietary intake.
"
"There's a lot of content here to work with your Garmin devices. I think the interface can be a little clunky at times, but they allow you to customize it, too.",Garmin Connect,feature_request,"Here's the converted user story based on the provided review:

""As a user, I want the ability to customize the interface within the app's current level of customization, keeping the amount of content available when working with my Garmin devices, so that I can improve my user experience by being able to tailor the application to my preferences and avoid clumsiness.""
"
"After waking up,it won't show my sleeping pattern.it did for one day,but it isn't doing so now.The app won't synch with the band.i have an honor band 3.i don't know if it's an app issue or band.Please someone reply what could be the possible reason",Huawei Health,problem_report,"As a user with an Honor Band 3, I want the app to consistently sync my sleep data and display my sleeping patterns every day so that I can track and understand my sleep quality.
"
i got the vivofit for the battery life.  but the app and device never function properly...only able to sync on a laptop which is worthless to me. UPDATE  After multiple phone reboots it now works fine.,Garmin Connect,problem_report,"Here's the user story I've created from that review:

**As a user, I want my Vivofit device to reliably sync with the app on my phone so that I can easily track my data without needing a laptop.**
"
It will not let me sign in! It's in a loop it keeps taking me back to the sign in page. It's always something with this company.,Garmin Connect,problem_report,"As a user, I want to be able to successfully sign in to the app/website so that I can access its features and my account.
"
"Finding it very difficult to sync with my Samsung phone, have to unpair, turn watch and phone off, re-pair and then it only might sync. Pal having same issue so it doesn't seem to be user issue",Garmin Connect,problem_report,"As a user with a Samsung phone, I want a reliable and consistent sync between my device and the app/watch so that I can seamlessly access and utilize its features without constant troubleshooting.
"
"You can't export your own data to perform your own analysis. The device's measurement uncertainty is also not stated anywhere, meaning it's measurements possess no meaning. You also can't control when SpO2 is continuously monitored.",Garmin Connect,feature_request,"Here are a few options for converting the review into user stories, depending on the level of granularity you want:

**Option 1 (More granular, separates each request):**

*   ""As a user, I want to be able to export my data so that I can perform my own analysis.""
*   ""As a user, I want the device's measurement uncertainty to be clearly stated so that I can understand the reliability of the measurements.""
*   ""As a user, I want to be able to control when continuous SpO2 monitoring is enabled so that I can manage battery life and measurement preferences.""

**Option 2 (Combines related issues):**

*   ""As a user, I want more control over my data and device settings, including the ability to export my data for analysis, understand the measurement uncertainty, and control continuous SpO2 monitoring.""

**Explanation of the options:**

*   **Option 1** is preferable if you want to track the progress of each request separately.
*   **Option 2** is shorter and more concise, but might make it harder to track the individual requests.
"
Doesn't measure stress or blood oxygen...feature was removed from all phones higher than S10...I needed this because of my PTSD...will not buy another Samsung product.,Samsung Health,feature_request,"Here are a couple of options, depending on the perceived nuance of the review:

**Option 1 (Focus on Feature Request):**

""As a user with PTSD (or a health condition requiring monitoring), I want the ability to measure stress and blood oxygen levels on my phone so that I can manage my health effectively.""

**Option 2 (Focus on Regaining Lost Functionality):**

""As a user who previously relied on stress and blood oxygen measurement on older Samsung phones, I want these features to be restored on newer models so that I can continue to manage my health without changing brands.""
"
The app does not either sync to the watch or stay synced to the watch. Have tried a million times. Even called garmin customer service.,Garmin Connect,problem_report,"As a user, I want the app to reliably sync and stay synced with my watch so that I can access the app's features and data on my watch without constant troubleshooting.
"
I wish there was an option to select your preferred 1st day of the week. Other than that I love using the app with my FitBit.,Samsung Health,feature_request,"As a user, I want to be able to select my preferred first day of the week so that the app aligns with my personal schedule and preferences.
"
