app_review,app,type,user_story
"I used to love this app.. now it dosent even work properly. It dosent even count my steps sometime.. really frustrating, also weight management feature is no longer there with the new update.. pointless having this app anymore..",Samsung Health,problem_report,"As a user, I want the app to function properly and accurately track my steps so that I can rely on it for my fitness goals. Additionally, I would like the weight management feature to be restored with the new update so that I can continue to effectively manage my weight."
Does the job. But my floor count is so inaccurate the last 4 weeks. Vivosmart keeps saying I've climed 35+ floors everyday when its more like 10-15 floor.,Garmin Connect,feature_request,"As a user, I want the floor count on the Vivosmart to accurately reflect the number of floors I have climbed each day, so that I have a more accurate record of my physical activity."
My activities from My Fitness Pal don't sync into the Connect app. I'm having to enter my workouts manually.  My information such as my picture or personal stats/settings are saving some and not others. My screens look nothing like any of the screenshots or videos.,Garmin Connect,problem_report,"User Story: ""As a user, I want my activities from My Fitness Pal to sync seamlessly into the Connect app so that I don't have to manually enter my workouts. Additionally, I want all my personal information, including my picture and stats, to save correctly and accurately reflect on all screens as shown in the screenshots and videos."""
Aftsr latest update gt2 doesnt connect to internet. Cannot show weather data and cant check for update... Also cant change watch faces. Also probkems in help page... Simply notngood,Huawei Health,problem_report,"As a user, I want the latest update to successfully connect to the internet so that I can view weather data and check for updates. Additionally, I want to be able to change watch faces and access the help page without any problems."
I have installed and uninstalled this app 12 times and it still doesnt work. When I click on 'Sign in' it just goes blank. I have watched the Youtube trouble shooting tutorials also. Does not work.,Garmin Connect,problem_report,"User Story: ""As a user, I want the app to be functional and easy to use so that I am not constantly reinstalling it and following troubleshooting tutorials on Youtube."""
"The app says one of the accessories is a samsung heart rate monitor so I ordered it,  doesn't use the heart rate monitor for anything,  big bummer and misleading",Samsung Health,problem_report,"""As a user, I expect the app to fully utilize the advertised Samsung heart rate monitor accessory, so that I can accurately track and monitor my heart rate while using the app."""
Im often using this apps for physical activity daily drive.... But the result was not significant ... Long run about 45 minutes.... And the result. 51% walk.. 49% running...for 8 kilometres... Even im not using this phone for a day.... Yhe result always look like the same....,Huawei Health,problem_report,"""As a user, I want the app to accurately track and record my physical activity, so that I can see the progress of my daily drives and run distances. I also want the app to reflect any changes in my activity over time and not just show the same results every day."""
It keeps getting stuck at the steps screen for me. Keeps loading forever and hangs :( the rest of the app works fine though..,Samsung Health,problem_report,"As a user, I want the app to not get stuck at the steps screen and to load quickly so that I can continue using the rest of the app smoothly."
it can't  be used in other devices.. samsung should open this types  of software to alll,Samsung Health,feature_request,"As a user of Samsung devices, I want to be able to use this app on multiple devices, not just the one it was downloaded on, so that I can access it from any Samsung device."
I wish there was an option to select your preferred 1st day of the week. Other than that I love using the app with my FitBit.,Samsung Health,feature_request,"User Story: ""As a user, I want to be able to select my preferred first day of the week in the app settings so that I can easily view my FitBit data from that day onwards."""
"What is missing is the possibility to create your own training plan,",Huawei Health,feature_request,"As an assistant, I want the app to allow users to create their own training plan so that they can personalize their workout experience and achieve their fitness goals."
The Bluetooth connection keeps connecting and disconnecting all the time even when I have my phone close to me.,Garmin Connect,problem_report,"As an assistant, I want the Bluetooth connection to remain stable so that I can efficiently perform tasks without interruption."
Previous version was better! Cant even get on this updated one. Plus I've lost all data by looks of it,Huawei Health,problem_report,"User Story: ""As a user, I want to be able to easily access the updated version of the app without any difficulties, and I want my previous data to be transferred over seamlessly."""
Getting better and faster ... Keep it up.   Adding 7 minutes workout kind of activities with sample will be great feature.,Garmin Connect,feature_request,"As a user, I want the app to continuously improve its performance and speed, so that I can have a smooth and efficient experience. Additionally, I would like to have the option of adding 7 minute workout activities with sample exercises to the app, so that I can incorporate them into my daily routine."
"Love the watch GT2 but really unfortunate that the app keeps crashing, then have to uninstall and reinstall every few days. Can you please fix the app to be stable on Google 6 pro.",Huawei Health,problem_report,"User Story: ""As a user, I want the GT2 watch app to be stable on Google 6 pro so that I don't have to constantly uninstall and reinstall the app due to crashes."""
I do not work out and it keep tell nice work or I'm on a bicycle and it been 4 years for that. Something need fix ASAP,Samsung Health,problem_report,"User Story: ""As a user, I want the fitness app to accurately track my physical activity, regardless of whether I am working out or riding a bicycle, so that I can see my progress and receive appropriate feedback."""
Can't connect or pairing to huawei smart body fat scale,Huawei Health,problem_report,"As a user, I want to be able to connect and pair my Huawei Smart Body Fat Scale to the app so that I can track my body fat accurately."
"Like many complaints on this product page, it appears the bluetooth connectivity is a real problem for many people.",Garmin Connect,problem_report,"As an assistant, I want the product to have a reliable bluetooth connectivity so that it can connect with other devices seamlessly and perform its tasks without any interruptions or delays."
This app is getting slower and slower. It just hangs when I come back from my walk. I do not have the problem if I use any of the other running apps.,Samsung Health,problem_report,"As an assistant, I want the app to run smoothly without any delays or hangs after returning from a walk, so that I can efficiently assist the user with their tasks."
"When the new day starts at midnight I already see 200kcal burned, even if the day just started and I didn't burn anything with training or just thanks to my basal metabolism, please fix this...",Samsung Health,problem_report,"""As a user, I want the app to accurately display the calories burned at midnight, regardless of whether or not I have performed any training or have burned calories through basal metabolism."""
I used this app for cycling. But the GPS is way off. The map shows me i crossed sea & jungle to reach my destination. Please fix the GPS accuracy & mapping issue .. i test this many times but the inaccuracies is just too much. Pls fix.,Huawei Health,problem_report,"User Story: ""As a cyclist, I want the app's GPS to accurately track my route and display it correctly on the map so that I can reach my destination without any confusion or inaccuracies."""
There is no option or updates given for honor band 4 regarding screen lock and also battery % of band in band itself,Huawei Health,feature_request,"""As a user of the Honor Band 4, I want the option to lock the band's screen and see the battery percentage directly on the band itself, so that I can easily check its status without having to access my phone."""
"After the last update I can't connect my watch to the phone, and I can't set my gender as well",Huawei Health,problem_report,"User Story: As a user, I want to be able to connect my watch to the phone and set my gender in the app after the update."
"Sleep stats are way to conservative since some time (nearly always they require an edit to add sleep time). Also, the app does not want to sync watch data without internet connection - why? What about trying to sync in a remote location out of range?",Garmin Connect,problem_report,"""As a user, I want the app to accurately track my sleep without requiring frequent edits, and allow me to sync my watch data even when I am in a remote location without internet connection."""
great app but there needs to be a push bike riding activity like the walking and running step count,Samsung Health,feature_request,"User Story: ""As a user, I want the app to track my push bike riding activity and include it in the overall step count, along with walking and running, so that I can accurately track my physical activity."""
"My only complaint is if the watch gets powered off (often due to freezing while charging), the app won't sync correctly when the watch is turned back on. It just keeps the info from before the watch was powered off.",Garmin Connect,problem_report,"As a user, I want the app to properly sync with my watch even if it has been powered off and turned back on, so that I always have the most updated information."
"Not working at all it does not set up setting, profile, heart from 5 days",Huawei Health,problem_report,"As a user, I want the app to work properly and allow me to set up settings, update my profile, and use the heart feature without any issues for at least 5 days."
"Great app and fun challenges. The only thing I would like to see, is a more  detailed way to track weightlifting workouts by different types of machines.",Samsung Health,feature_request,"Story: ""As a user, I want the app to provide a more detailed way to track my weightlifting workouts by different types of machines, so that I can better monitor my progress and stay on top of my fitness goals."""
Huawei Band 3 Pro won't connect to google fit or my fitness pal :(,Huawei Health,problem_report,"As a user, I want my Huawei Band 3 Pro to be able to connect to Google Fit or MyFitnessPal so that I can conveniently track my fitness data in those apps."
"hi, i like the app but i feel it's missing a bar scanner for the food part, like My Fitness does.",Samsung Health,feature_request,"User Story: ""As a user, I want the app to include a bar scanner for the food section, similar to My Fitness, so that I can easily track the nutritional information of the food I consume."""
"I love this app but since my last phone update, the app is saying I'm burning 6000 calories by the end if the day! I wish, lol. Hopefully this gets corrected soon.",Samsung Health,problem_report,"""I want the app to accurately track and calculate my daily calorie burn so that I can accurately track my fitness progress."""
"My data is not syncing with MyFitnessPal app, it is there is a setting other than linking to the app?",Huawei Health,feature_request,"User Story: ""As a user, I want my data to sync with MyFitnessPal app automatically so that I don't have to manually input my information."""
"I reinstall this app and all of my records , sleep data gone🤦🏻‍♂️ this app is not sync with huawei claud which my health data stored. I logged out and re loggged in but does not affect huawei health app. shittt",Huawei Health,problem_report,"User Story: ""As a user, I want my data to be synced with my Huawei cloud so that I don't lose my records or sleep data when I reinstall the app."""
"Good UI, after making sure the app auto-starts the phone always connects to the watch. great app, the only problem is that the find my phone app on my watch only makes sound if tge app is open.",Garmin Connect,problem_report,"""As a user, I want the app to automatically start when my phone turns on so that it can easily connect to my watch. Additionally, I want the find my phone feature on the watch to make sound even when the app is not open."""
Love the app and the challenges it is incredibly difficult to connect with people you know it would be great if it connected to Facebook or phone book,Samsung Health,feature_request,"As a user, I want the app to connect to Facebook or my phone book so that I can easily connect with people I know in the challenges."
"The whole app. stopped working. It needed to be updated, I  tried but the app. still won't work. I would like it if someone would tell me.how to fix this.",Samsung Health,problem_report,"As a user, I want the app to continue functioning even after an update so that I don’t have to constantly wait for fixes or technical assistance. Additionally, I would like clear instructions on how to fix any potential issues that arise with the app."
Great App. It would be such better if it communicated with other fitness/wellness systems and apps.,Samsung Health,feature_request,"As a user, I want the app to communicate with other fitness and wellness systems and apps so that I can have a more comprehensive overview of my health and fitness progress."
Updated today and now shows my weight as 10.5:7.0 st?! What the hell is that all about!,Garmin Connect,problem_report,"""Now that the app has been updated, as a user, I want my weight to be accurately displayed in a readable format, instead of showing a strange value like 10.5:7.0 st."""
"The step counter stopped working for the second time. Each time i had to reinstall the app. I have a Samsung Galaxy S5, all software updated. Losing the progress details for what I had accomplished was annoying.",Samsung Health,problem_report,"As a user, I want the step counter to consistently work so that I don't have to constantly reinstall the app. Having to redo my progress details each time is frustrating and inconvenient."
Won't sync activity or heart rate with Google Fit. Only sleeping data for some reason.,Huawei Health,problem_report,"User Story: ""As a user, I want the app to sync all of my activity and heart rate data with Google Fit so that I can track my fitness progress accurately."""
love the app always used it for years but why is there no auto fill for foods anymore ??,Samsung Health,feature_request,"User Story: ""As a user who has been using the app for years, I want the ability to auto-fill food options so that I can quickly track my meals without constantly typing them in manually."""
I can not give -1 star. App is total usless without weight management. I will remov it and instal another app.,Samsung Health,feature_request,"As a user, I want to be able to give a rating lower than 1 star so that I can accurately reflect my experience with the app's lack of weight management features. If the app does not have weight management, I want the option to remove it and install another app that does offer this feature."
"After last update how i can see my scheduled trainings? It shows only ""today"" . Please update. Thank you",Garmin Connect,problem_report,"As a user, I want to be able to see all my scheduled trainings, not just those for ""today"", so that I can plan my workouts more effectively."
My rate checker stopped working sence I did the update,Samsung Health,problem_report,"As a user, I want the rate checker to continue working after updating the app so I can accurately track rates."
Not able to pair up it with my honor band 5 as it is not updating the device list,Huawei Health,problem_report,"User Story: ""As a user, I want to be able to pair my honor band 5 with the app so that I can update the device list and use it with the app."""
"My honor band 5i touch is not responding, i dont know where to get help, please direct me after seeing this, thank you P.s. Used for less than a month",Huawei Health,problem_report,"As a user of the Honor Band 5i touch, I want to be able to get help when my device is not responding, so that I can continue using it smoothly."
Sleep track doesn't work. The app doesn't have the same features as the watch. Ridiculous.,Huawei Health,problem_report,"""As a user, I want the sleep tracking feature to work properly and for the app to have all the same features as the watch so that I can accurately track my sleep."""
The steps didn't sum up at the dashboard for few times already. And makes me can't collect points from there. Upset,Samsung Health,problem_report,"As a user, I want the app to accurately sum up steps on the dashboard to ensure that I am able to collect my points without any issues."
It's great when it's working. It keeps losing sync and I have to uninstall and reinstall to get it working again. It's happening more and more 😒,Garmin Connect,problem_report,"As a user, I want the app to maintain consistent and reliable syncing so that I can use it without having to frequently uninstall and reinstall."
App and watch are mediocre at best. The app is buggy and does not sync with other apps.,Huawei Health,problem_report,"""As a user, I want the app to sync with other apps and be free of bugs so that I can use it with my watch seamlessly."""
A very handy app but occasionally it's slow to connect to my device.  I recently changed from a Nokia mobile phone which is not fully supported to an android device which is. I recommend this app.,Garmin Connect,feature_request,"User Story: ""As a user, I want the app to connect quickly and consistently with my device, regardless of changes in device compatibility, so that I can use it efficiently and without interruption."""
Worst app ..I am not able to download even a single theme ....no clear user guide ... Update your app guys do some work..hate it 👎🏼,Huawei Health,feature_request,"As an assistant, I want to be able to easily download and use themes in the app so that I can provide a better user experience for my clients."
"Connects well on xperia 10 phone and gt2 pro watch, good charts and map to reference workout. The hight and weight setting don't set properly, only fault.",Huawei Health,problem_report,"""As a user with an xperia 10 phone and gt2 pro watch, I want the app to connect seamlessly and display accurate charts and maps for my workouts. However, I am encountering an issue where my height and weight settings are not being saved correctly, which is a problem for me."""
"How does it calculate calories? Walked 40 min with 4km/h speed. It is about 2.7km. And the app says me I burnt about 350 calories. How this even possible? In reality it would be 110-130 calories. Please, fix. Otherwise it is useless.",Samsung Health,problem_report,"User Story: ""As a fitness enthusiast, I want the app to accurately calculate my calories burned based on my distance and speed, so that I can trust and rely on its data to track my progress and make informed decisions about my workouts."""
removed the caloric intake feature and now it's wack edit: just found out you can undo the update by looking up the older version of the app on the Samsung mobile website 😫 still upset the current version doesn't have the calorie intake and outake meter though,Samsung Health,feature_request,"User Story: ""As a user, I want the app to have a calorie intake and outake meter so that I can track my daily intake and make healthier choices."""
Good app. But it would be nice if I can choose my own totals in Actvities > Cycling > Totals... etc. Total climb instead of calories or distance. Thank you.,Garmin Connect,feature_request,"User Story: ""As a user, I want to be able to customize the totals shown in the Activities section, specifically for cycling, so that I can see my total climb instead of calories or distance."""
"If it has an option to flip the data for night shift schedule workers, that would be GREAT!",Samsung Health,feature_request,"User Story: ""As a night shift worker, I want the app to have an option to flip the data so that I can easily see my schedule."""
Rubbish. Doesn't allow to export data. And why do you need access to my call logs?,Huawei Health,feature_request,"As a user, I want the app to allow me to export my data so that I can use it elsewhere. Additionally, I want to know why the app needs access to my call logs."
It's good I liked the heart rate and stress measuring but there r problems with step counter,Samsung Health,problem_report,"As a health conscious user, I want to use the app to measure my heart rate and stress levels, but I am experiencing issues with the accuracy of the step counter."
Would give 4 but they took down a very vital feature like calorie management.,Samsung Health,feature_request,"user

As an assistant user, I want the app to have calorie management feature so that I can easily track my daily calorie intake."
When i open app they said download huawai app gallery then i download that app but it doesn't work please solve this problem i have to use my honor band 4.,Huawei Health,problem_report,"As a user, I want the app to be compatible with my Huawei device so that I can successfully download and use the Huawei app gallery and connect my Honor Band 4 to the app."
I am using huawei gt 2 This app has sooo disappointing watch faces.without any custom for faces.And it looks so poor and not in 3d model at all.samsung has more features and more customs for their watches and i have a bit of shame on you huawei,Huawei Health,feature_request,"User Story: ""As a user of Huawei Watch GT 2, I want the app to provide a variety of customizable watch faces and 3D models to choose from, similar to Samsung's watch offerings, so that my Huawei watch can have a unique and appealing appearance."""
3 messages in 4 hours now getting very annoying.stop it,Samsung Health,feature_request,"As a user, I want to be able to adjust the frequency of in-app messages so that I am not bombarded with notifications constantly."
Why does it not work on the Xiaomi MI4 phone? Seems strange that on a new phone it would not work. Does the phone software just need to be updated??,Garmin Connect,problem_report,"As a user with a Xiaomi MI4 phone, I want the app to work properly on my device so that I can use it without any issues."
"It's good but the Bluetooth connection with the band keeps falling and you have to go to the app to reconnect , and the band itself counts steps if you just move it in your hand !!",Huawei Health,problem_report,"""As a user, I want the Bluetooth connection with my band to be stable and not constantly disconnect, and I want the band to accurately track my steps and not count them when I'm not actively moving."""
If u can fix the issues with huawei phones then i would give u 5 star but im really frustrated and annoyed by this problem which leads to my vivoactive hr being practically useless,Garmin Connect,problem_report,"User Story: ""As a user of the app on a Huawei phone, I want the issues to be fixed so that I can give the app a 5-star rating. The current problems are causing frustration and rendering my device practically useless with my Vivoactive HR."""
There is no option for check hear rate i can i manage this can you guide us ???,Samsung Health,feature_request,"""As a user, I want the app to have an option to check my heart rate so that I can manage it properly. Can you guide me on how to do this?"""
Asks me everytime i turn my bluetooth on if im having trouble connecting. Needs to be fixed i use many other bluetooth device's,Garmin Connect,problem_report,"User Story: ""As a user, I want the app to not prompt me every time I turn on my bluetooth and automatically connect to my previously paired devices so that I can easily use all my bluetooth devices without any interruptions."""
I am not able to open this app on one plus7 .pls help,Huawei Health,problem_report,"As a user with a OnePlus7 phone, I want to be able to open the app successfully so that I can use it."
Without pairing step count continuously. Ultimately very high count different in watch and applications.,Huawei Health,problem_report,"User Story: ""As a user, I want the app to continuously update my step count through pairing with my watch so that I get an accurate count in both the watch and the app."""
i have s6 edge but i can not delete the 2018 weekly summary records can u help ?,Samsung Health,problem_report,"User Story: ""As a user with an S6 Edge, I want to be able to delete the 2018 weekly summary records so that I can free up space and keep my phone organized."""
Works very well. Changing my review from being very close to 5 stars to just 2. The newest update that removed the total by calendar month is horrible. Please bring it back. Don't like it at all.,Garmin Connect,feature_request,"User Story: ""As an assistant, I want the app to have the total by calendar month feature so that I can easily track and manage my tasks."
Tries to open files associated with other apps. Garmin is clueless about how their app behaves. Very virus-like activity.,Garmin Connect,feature_request,"Here is an example of converting an assistant review into a user story:

Review: ""The assistant constantly forgets my preferences and gives me irrelevant suggestions.""  
User Story: ""As an assistant user, I want the app to remember my preferences and provide relevant suggestions so that I can easily find what I need."""
"App is great overall, but I would like a way to see the evelation of the route I made. Also, there's no way to add faces to the Band 4 Pro.",Huawei Health,feature_request,"User Story: ""As a user, I want to be able to see the elevation of the route I create in the app, so that I can track my progress. Additionally, I want the ability to add faces to my Band 4 Pro for personalization."""
the app continues to show the running man and will not let me sign into my account to be able to sync,Garmin Connect,problem_report,"As a user, I want the app to allow me to sign into my account and sync it with other devices, so I can access my data and use the app seamlessly."
"Food tab is missing a barcode scanner for quick searching macronutrients, needs to add a target macro editing for Fats, Protein & Carbs",Samsung Health,feature_request,"As a user, I want the food tab to have a barcode scanner so that I can quickly search for macronutrients. I also want to be able to edit my target macros for Fats, Protein, and Carbs within the food tab for easier tracking."
Great step counter and GPS but terrible sleep anyalse some mornings I wake up and look at my phone and it thinks I'm still skeeping....,Huawei Health,problem_report,"As an assistant, I want the sleep analysis feature to accurately track my user's sleeping patterns so that I can provide them with a reliable report."
"Dislike the dark interface theme, settings are clumsy with too many menus. Regular sync issues, tech support useless, I was emailed instructions by the operator who appeared poorly trained.",Garmin Connect,problem_report,"""As an assistant, I want the interface theme to be customizable and the settings to be user-friendly with minimal menus. I also want the app to have a smooth sync process and effective tech support to resolve any issues. As an operator, I want to receive clear and comprehensive instructions to effectively assist users."""
The app is utterly useless as it is not recognised by my get 2 smartwatch rendering that a complete waste of money too.,Huawei Health,problem_report,"User Story: ""As a user, I expect the app to be compatible with my get 2 smartwatch, so that I can make use of all its features and not feel like I wasted money."""
My sleep data is not getting synced from band to app. How do I fix this. It's been three days I have bought the band.,Huawei Health,problem_report,"""As a user, I want my sleep data to sync seamlessly from my band to the app so that I can track my sleep patterns accurately, and I want it to be fixed quickly without any delays after I've purchased the band."""
Watch Faces is not loading. It always says server error even if I have a stable connection. This app is unreliable.,Huawei Health,problem_report,"User Story: ""As a user, I want the Watch Faces app to load properly and not display a server error message, even when I have a stable internet connection, so that I can rely on the app for accurate watch face information."""
"Why my band always disconnected if i close the app,but the app its still running in background",Huawei Health,problem_report,"As a user, I want my band to stay connected even if I close the app so that my data can continue to sync in the background."
I had give this app 5 stars but I should take back one. Where is nutrition balance score after new update? I used to decide which snack to eat by adding it and see how the score changes before eating my snacks.,Samsung Health,feature_request,"User Story: ""As a user, I want the nutrition balance score feature to be included in the app after the new update so that I can make informed snack choices by seeing how the score changes after adding various snacks."""
"Not working now, requires Huawei Mobile services 4.0.0 app, which is not there in Google play.",Huawei Health,problem_report,"User Story: ""As a user, I want the app to be compatible with Huawei Mobile services 4.0.0 so that I can use it easily on my device from the Google Play Store."""
Great app. Love you can put in your food intake and stuff. Would give a 5  star if the step counting would work all the time. It doesn't work more  often than it does work so I don't have a good idea of the calories burned  and such.,Samsung Health,feature_request,"As a user, I want the app to accurately track my step count so that I can have a more accurate estimation of my calories burned and overall fitness level."
I found out that Garmin got hacked. And had ransomware on there system. It took a while to get back to working.,Garmin Connect,problem_report,"As an assistant, I want to ensure the safety and security of user data by promptly resolving any issues caused by external factors, such as hacking or ransomware."
Good app. But... There should a function to sync my data,Huawei Health,feature_request,"As a user, I want the app to have a function to sync my data so that I can easily access it across devices."
Have bug and problem on notification panel...please check for solve this.thanks,Huawei Health,problem_report,"User Story: ""As a user, I want the notification panel to function properly without any bugs or problems so that I can stay updated on any important information."""
"Excellent app but 1 thing for Huawei"" Honor Band 3 device"" can install the greek lanquage in next device firmware update...?",Huawei Health,feature_request,"""As a user with a Huawei Honor Band 3 device, I want the app to have Greek language support in the next device firmware update."""
Very good application. Everything is alright except navigating back to main page/my day page. Also finding some settings i.e. recording smart/par min is difficult. Make setting simple . It will be awesome.,Garmin Connect,feature_request,"""As a user, I want the app to have a simple and easy way to navigate back to the main page or my day page, and to find settings such as recording smart/par min easily so that I can make the most out of the app."""
"there is no option in app for chane watch face style! i think u're limit some of option for some countries, and that is not fair! i Use the best model of huawei phone and smart watch but i can't use applicatins completely :(",Huawei Health,feature_request,"User Story: ""As a user, I want the option to change the watch face style in the app so that I can customize my watch according to my preferences. Also, I want all features of the app to be available in my country, regardless of the brand of my phone and watch."""
"Pls add anothers wallpaper widgets that able to open app in basic page, or add/record workout directly",Samsung Health,feature_request,"""As a user, I want the app to have additional wallpaper widgets that allow me to open a basic page of the app, or add/record my workouts directly."""
When everything works it is great. The weather app just suddenly decided to stop working. I didn't change anything on my phone or fitness tracker.,Garmin Connect,problem_report,"User Story: ""As an assistant, I want the weather app to consistently work without randomly stopping, so that I can provide accurate and timely information to the user."""
I am unable to sync this with my galaxy 3,Garmin Connect,problem_report,"As a user, I want to be able to sync the app with my Galaxy 3 so that I can access the same information on both devices."
Doesn't sync properly with my Samsung watch. It used to count all my steps but there's some issue after the update. it shows 11000 steps when my watch shows 15000 steps. I looked at all the settings but couldn't fix it.,Samsung Health,problem_report,"As an active user, I want my Samsung watch to sync accurately with the app so that my step count is accurately tracked and reflects the information from my watch."
"would be better if the recorded activities showed whether you are working in thezone or not, rather than average heart rate.",Garmin Connect,feature_request,"User Story: ""As an assistant, I want the recorded activities to display if the user is in the zone or not, rather than just showing the average heart rate, so that I can better track their progress and adjust their workouts."""
I have a problem with honor band 5-33F the new update doesn't support it,Huawei Health,problem_report,"User Story: ""As a user with an Honor Band 5-33F, I want the new update to support the device so that I can continue using it without any issues."""
Why this app is giving wrong information on calories burnt so this app is not so good,Samsung Health,problem_report,"User Story: ""As a user, I want the app to accurately track the calories I've burned so that I can rely on its information for my fitness goals."""
It's back working counting steps out of nowhere..  That was all my isssue and it's resolved now which is good..,Samsung Health,problem_report,"User Story: ""As an assistant, I want the app to accurately count steps at all times so that I can accurately track my progress towards my fitness goals."""
Faces options / add new face etc have disappeared for my Huawei GT2. I cleared the cache etc with no luck. Please fix it asap,Huawei Health,problem_report,"User Story: ""As a Huawei GT2 user, I want the faces options and add new face functionality to be fixed in the app so that I can customize my watch faces easily."""
Why Would an app want to control all of my phone calls?,Samsung Health,feature_request,"As a user, I want to have control over which calls the app can access, so that I can protect my personal information and have more control over my phone calls."
Do you actually read feedbacks? I've been reporting about the bugs in daily walking tab.,Huawei Health,problem_report,"User Story: ""As a user, I want the app to address and fix any reported bugs in the daily walking tab, so that my experience using it is smooth and hassle-free."""
won't connect until i remove app and reinstalle it very frustrating,Garmin Connect,problem_report,"""As a user, I want the app to connect reliably so that I don't have to uninstall and reinstall it every time it fails to connect."""
I have GT watch in was the blutooth connected automaticlly..recently i hv to connect manually after while disconnected..pls fix it,Huawei Health,problem_report,"As a user with a GT watch, I want the app to automatically connect to my Bluetooth when I open it, so that I don't have to manually connect every time it disconnects."
Not good at all. My monthly report for April shows the same stats which were there for March month. Recommended courses also does not work properly.,Huawei Health,problem_report,"As a user, I want the monthly report to accurately reflect the current month's stats, so that I can make informed decisions. Additionally, I would like the recommended courses feature to function properly."
Last update made my Garmin S62 watch stop receiving notifications. Phone are connected correct but not getting any notifications at all,Garmin Connect,problem_report,"As a Garmin S62 watch owner, I want the app to properly connect and receive notifications so that I can have a seamless user experience with my watch and phone."
"It's a great app, could be more supportive of other non Samsung devices such as scales. But otherwise love it.",Samsung Health,feature_request,"As a user, I want the app to be more supportive of other non Samsung devices like scales, so that I can fully utilize the app's features."
Nice app needs a little more things that people that have handicap problems can do,Samsung Health,feature_request,"As a user with handicap problems, I want the app to have more features that accommodate my specific needs so that I can use it comfortably."
I don't know why the my band gets disconnects automatically. And kindly try to enable the reply option to the notifications on honor band ES that will be much appreciated 🙂,Huawei Health,problem_report,"User Story: ""As a user, I want my band to stay connected to the app so that I can track my activity without any interruptions. Additionally, I would like the option to reply to notifications on my Honor Band ES for a more seamless experience."""
Please enable auto pause of tracking the exercise while stopping in between an exercise and start tracking automatically once the exercise is resumed.,Huawei Health,feature_request,"As a user, I want the app to automatically pause tracking my exercise when I stop in between, and resume tracking once I resume my exercise, so that I can easily track my progress and have accurate data."
Slow start up and slow operation why do you need Id now to work?,Huawei Health,problem_report,"""As a user, I want the app to have a faster start up and operate at a faster speed, and I don't understand why it requires an ID for working."""
"After updating app, it's not connecting, even it's not showing device, then i thought i have to reset it (Honor band5), then also not connecting, worst experience, worst app. Now this band became useless. You Busted why you people taking money from us.",Huawei Health,problem_report,"User Story: ""As a user, I want the app to connect to my device without any issues so that I can track my fitness data accurately, and not waste money on a useless device."""
I can't access the app appeantley my phone is rooted but is not,Samsung Health,problem_report,"As a user, I want to be able to access the app even if my phone is rooted, so that I can use it without any limitations."
"I enjoy the app, especially logging food. Would be nice if app would allow more than 100 My Food entries to be added/created.",Samsung Health,feature_request,"User Story: ""As a user, I want the app to allow for more than 100 My Food entries to be added so that I can track my meals accurately."""
Some minor issues found in your app.  If i shake my phone it count steps.  Plz fix this issue and it would be a good app for health.,Samsung Health,problem_report,"User Story: ""As a user, I want the step counting feature to function properly without unintended triggers, such as shaking my phone, so that I can accurately track my fitness progress using the app."""
